day,hour,pearson,kendall,spearman,max_pearson_val,max_pearson_time,min_pearson_val,min_pearson_time,max_kendall_val,max_kendall_time,min_kendall_val,min_kendall_time,max_spearman_val,max_spearman_time,min_spearman_val,min_spearman_time
2,3,0.79,0.49,0.69,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,4,0.79,0.54,0.74,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,5,0.75,0.61,0.79,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,6,0.66,0.67,0.84,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,7,0.59,0.53,0.72,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,8,0.54,0.46,0.63,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,9,0.63,0.45,0.62,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,10,0.65,0.4,0.56,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,11,0.58,0.39,0.54,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,12,0.55,0.35,0.49,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,13,0.49,0.37,0.53,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,14,0.46,0.32,0.45,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,15,0.42,0.28,0.39,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,16,0.45,0.29,0.42,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,17,0.47,0.38,0.52,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,18,0.44,0.35,0.49,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,19,0.44,0.33,0.46,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,20,0.34,0.29,0.41,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,21,0.3,0.27,0.39,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,22,0.34,0.27,0.39,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
2,23,0.4,0.42,0.6,0.79,52,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,0,0.46,0.45,0.61,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,1,0.63,0.55,0.74,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,2,0.7,0.59,0.78,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,3,0.78,0.56,0.74,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,4,0.79,0.57,0.76,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,5,0.77,0.58,0.77,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,6,0.62,0.62,0.81,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,7,0.56,0.54,0.74,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,8,0.57,0.5,0.68,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,9,0.66,0.52,0.69,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,10,0.59,0.45,0.62,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,11,0.63,0.41,0.58,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,12,0.59,0.39,0.55,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,13,0.59,0.43,0.59,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,14,0.49,0.34,0.48,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,15,0.49,0.33,0.47,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,16,0.48,0.33,0.45,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,17,0.51,0.4,0.56,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,18,0.47,0.35,0.49,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,19,0.4,0.38,0.53,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
