day,hour,precinct,criminal,traffic,population,age,max_crime,min_crime,max_traffic,min_traffic,max_crime_time,min_crime_time,max_traffic_time,min_traffic_time,max_crime_change,max_traffic_change
0,0,5,124,24153,44898,40.0,249.0,62.0,53922.0,4840.0,15.0,4.0,20.0,5.0,4.02,11.14
0,0,94,110,6030,33351,34.7,122.0,63.0,6684.0,1200.0,16.0,5.0,23.0,5.0,1.94,5.57
0,0,40,134,365,98324,28.7,243.0,31.0,621.0,140.0,15.0,5.0,17.0,3.0,7.84,4.44
0,0,34,172,829,126204,36.3,172.0,25.0,829.0,109.0,0.0,6.0,0.0,5.0,6.88,7.61
0,0,32,138,1111,85872,33.7,184.0,24.0,2228.0,369.0,15.0,4.0,7.0,3.0,7.67,6.04
0,0,50,44,75,58653,37.6,84.0,20.0,75.0,10.0,15.0,4.0,0.0,3.0,4.2,7.5
0,0,25,139,2043,61031,33.4,183.0,64.0,5975.0,818.0,16.0,5.0,7.0,3.0,2.86,7.3
0,0,100,28,10,28243,45.8,60.0,7.0,1000.0,1.0,3.0,4.0,3.0,1.0,8.57,1000.0
0,0,18,165,61975,58237,38.1,270.0,117.0,162186.0,19290.0,16.0,5.0,19.0,3.0,2.31,8.41
0,0,20,140,16547,85962,41.8,213.0,61.0,76855.0,3175.0,12.0,4.0,18.0,3.0,3.49,24.21
0,0,111,63,44,119917,43.8,65.0,5.0,85.0,4.0,12.0,4.0,10.0,2.0,13.0,21.25
0,0,107,69,115,93520,37.3,99.0,13.0,193.0,29.0,12.0,5.0,15.0,2.0,7.62,6.66
0,0,30,99,1542,63956,34.1,128.0,31.0,2220.0,475.0,15.0,3.0,8.0,3.0,4.13,4.67
0,0,49,102,42,129501,36.0,123.0,16.0,42.0,4.0,19.0,5.0,0.0,5.0,7.69,10.5
0,0,88,104,2791,74233,34.1,152.0,8.0,3462.0,403.0,18.0,5.0,23.0,5.0,19.0,8.59
0,0,26,83,3194,65925,30.4,167.0,60.0,8409.0,1035.0,17.0,5.0,17.0,3.0,2.78,8.12
0,0,123,50,15,165632,41.6,67.0,6.0,1000.0,1.0,12.0,4.0,10.0,2.0,11.17,1000.0
0,0,9,194,40202,43022,32.4,203.0,114.0,66407.0,12012.0,18.0,6.0,22.0,5.0,1.78,5.53
0,0,104,95,159,174240,37.3,123.0,29.0,159.0,38.0,18.0,6.0,0.0,12.0,4.24,4.18
0,0,33,115,1283,92476,34.6,122.0,26.0,1377.0,306.0,13.0,3.0,7.0,3.0,4.69,4.5
0,0,62,99,41,189076,38.4,127.0,22.0,67.0,3.0,20.0,5.0,16.0,18.0,5.77,22.33
0,0,22,54,3353,0,0.0,112.0,51.0,44700.0,540.0,14.0,2.0,15.0,3.0,2.2,82.78
0,0,1,60,1000,88716,34.0,262.0,60.0,90234.0,1000.0,15.0,0.0,19.0,0.0,4.37,90.23
0,1,44,101,91,141055,31.5,229.0,38.0,308.0,51.0,18.0,6.0,7.0,19.0,6.03,6.04
0,1,103,56,55,68981,39.3,181.0,27.0,333.0,13.0,15.0,5.0,16.0,3.0,6.7,25.62
0,1,28,75,1795,50095,34.8,182.0,59.0,6251.0,745.0,15.0,5.0,7.0,3.0,3.08,8.39
0,1,105,69,9,200852,40.1,162.0,30.0,72.0,5.0,12.0,3.0,6.0,3.0,5.4,14.4
0,1,13,126,24795,49348,34.2,256.0,121.0,137063.0,9886.0,12.0,3.0,19.0,3.0,2.12,13.86
0,1,71,59,442,111325,34.3,141.0,24.0,461.0,56.0,18.0,5.0,0.0,11.0,5.88,8.23
0,1,7,82,7551,72789,41.1,165.0,57.0,13099.0,2419.0,20.0,6.0,23.0,5.0,2.89,5.42
0,1,46,82,97,136982,29.9,178.0,40.0,97.0,19.0,16.0,3.0,1.0,14.0,4.45,5.11
0,1,48,81,26,130442,28.9,162.0,35.0,26.0,2.0,14.0,4.0,1.0,10.0,4.63,13.0
0,1,19,148,12872,221922,39.9,266.0,72.0,162269.0,5502.0,12.0,3.0,18.0,3.0,3.69,29.49
0,1,41,51,32,55492,30.3,148.0,21.0,43.0,8.0,18.0,6.0,5.0,9.0,7.05,5.38
0,1,14,163,44153,16368,33.2,253.0,126.0,198038.0,15284.0,10.0,5.0,19.0,3.0,2.01,12.96
0,1,67,107,49,138643,37.8,204.0,41.0,49.0,3.0,19.0,6.0,1.0,11.0,4.98,16.33
0,1,17,113,28916,97402,38.4,180.0,108.0,267591.0,11346.0,12.0,5.0,19.0,3.0,1.67,23.58
0,1,61,44,39,150931,39.9,117.0,23.0,63.0,8.0,12.0,6.0,8.0,11.0,5.09,7.88
0,1,102,73,187,154987,35.5,118.0,24.0,359.0,62.0,19.0,6.0,6.0,2.0,4.92,5.79
0,1,110,124,937,142289,35.8,142.0,59.0,989.0,250.0,16.0,10.0,4.0,20.0,2.41,3.96
0,1,108,96,4247,139088,37.1,153.0,87.0,8844.0,2651.0,7.0,5.0,7.0,3.0,1.76,3.34
0,1,75,143,65,185182,33.0,320.0,60.0,65.0,13.0,19.0,4.0,1.0,11.0,5.33,5.0
0,1,73,72,110,94149,32.3,192.0,32.0,110.0,12.0,16.0,4.0,1.0,12.0,6.0,9.17
0,1,60,57,7,109876,43.7,145.0,18.0,35.0,3.0,0.0,4.0,20.0,17.0,8.06,11.67
0,1,68,27,78,125011,39.4,120.0,10.0,149.0,17.0,17.0,4.0,23.0,11.0,12.0,8.76
0,1,79,98,633,75318,29.1,163.0,18.0,814.0,76.0,21.0,5.0,23.0,16.0,9.06,10.71
0,1,23,108,3376,59777,34.5,221.0,68.0,25869.0,1814.0,19.0,3.0,7.0,3.0,3.25,14.26
0,1,42,57,21,139743,29.4,150.0,18.0,55.0,6.0,15.0,4.0,7.0,12.0,8.33,9.17
0,1,115,149,3185,180562,35.0,231.0,97.0,54393.0,1052.0,0.0,6.0,10.0,3.0,2.38,51.7
0,1,52,93,48,131423,32.3,209.0,45.0,53.0,10.0,19.0,5.0,7.0,13.0,4.64,5.3
0,1,122,37,9,135323,41.4,109.0,17.0,1000.0,2.0,12.0,3.0,4.0,11.0,6.41,500.0
0,1,1,130,12946,88716,34.0,262.0,60.0,90234.0,1000.0,15.0,0.0,19.0,0.0,4.37,90.23
0,1,72,49,161,151258,33.3,91.0,22.0,232.0,42.0,8.0,6.0,23.0,16.0,4.14,5.52
0,1,109,49,88,250162,42.8,169.0,26.0,166.0,52.0,12.0,5.0,16.0,4.0,6.5,3.19
0,1,24,84,6476,124447,43.4,198.0,57.0,40913.0,3043.0,17.0,4.0,18.0,3.0,3.47,13.44
0,1,81,100,780,67371,33.2,123.0,23.0,921.0,37.0,23.0,4.0,0.0,9.0,5.35,24.89
0,1,90,122,7579,124082,30.9,208.0,72.0,10500.0,919.0,0.0,3.0,23.0,10.0,2.89,11.43
0,1,112,27,254,114637,42.1,115.0,11.0,716.0,111.0,0.0,4.0,8.0,4.0,10.45,6.45
0,1,43,116,44,189556,34.2,233.0,46.0,64.0,20.0,15.0,5.0,0.0,12.0,5.07,3.2
0,1,84,70,3288,66385,35.0,198.0,63.0,9502.0,1106.0,14.0,4.0,7.0,3.0,3.14,8.59
0,1,47,89,25,144341,35.6,200.0,38.0,38.0,2.0,15.0,5.0,4.0,11.0,5.26,19.0
0,1,77,99,738,127627,34.2,153.0,22.0,911.0,101.0,21.0,5.0,23.0,11.0,6.95,9.02
0,1,101,39,6,93267,33.3,85.0,13.0,1000.0,1.0,18.0,5.0,4.0,5.0,6.54,1000.0
0,1,83,108,676,135837,30.4,152.0,28.0,802.0,29.0,0.0,6.0,0.0,11.0,5.43,27.66
0,1,113,187,12176,239699,35.9,258.0,89.0,36909.0,1669.0,15.0,4.0,15.0,3.0,2.9,22.11
0,1,120,81,40,172369,35.9,153.0,27.0,247.0,32.0,18.0,5.0,15.0,2.0,5.67,7.72
0,1,70,67,238,162030,34.3,158.0,29.0,476.0,87.0,15.0,4.0,7.0,11.0,5.45,5.47
0,1,69,49,18,88367,37.1,89.0,16.0,35.0,5.0,16.0,5.0,16.0,12.0,5.56,7.0
0,1,66,35,59,164842,27.9,88.0,18.0,118.0,44.0,20.0,6.0,17.0,21.0,4.89,2.68
0,1,114,121,4376,172468,35.1,199.0,91.0,7987.0,1660.0,18.0,5.0,7.0,19.0,2.19,4.81
0,1,76,64,662,42463,36.5,103.0,10.0,4263.0,299.0,12.0,4.0,8.0,3.0,10.3,14.26
0,1,63,44,42,116657,38.6,100.0,18.0,52.0,3.0,18.0,6.0,0.0,9.0,5.56,17.33
0,1,45,40,19,122417,42.9,127.0,14.0,1000.0,1.0,17.0,5.0,6.0,4.0,9.07,1000.0
0,1,106,56,38,137073,38.7,124.0,24.0,101.0,25.0,20.0,6.0,16.0,3.0,5.17,4.04
0,1,10,139,16236,77205,37.1,199.0,108.0,67629.0,8528.0,12.0,6.0,18.0,4.0,1.84,7.93
0,1,78,70,2397,73881,35.4,141.0,60.0,6353.0,689.0,14.0,5.0,22.0,4.0,2.35,9.22
0,1,6,154,46588,66772,36.5,178.0,115.0,114054.0,15787.0,17.0,7.0,22.0,5.0,1.55,7.22
0,1,5,123,14081,44898,40.0,249.0,62.0,53922.0,4840.0,15.0,4.0,20.0,5.0,4.02,11.14
0,1,94,87,4258,33351,34.7,122.0,63.0,6684.0,1200.0,16.0,5.0,23.0,5.0,1.94,5.57
0,1,40,112,271,98324,28.7,243.0,31.0,621.0,140.0,15.0,5.0,17.0,3.0,7.84,4.44
0,1,34,62,439,126204,36.3,172.0,25.0,829.0,109.0,0.0,6.0,0.0,5.0,6.88,7.61
0,1,32,99,763,85872,33.7,184.0,24.0,2228.0,369.0,15.0,4.0,7.0,3.0,7.67,6.04
0,1,50,35,53,58653,37.6,84.0,20.0,75.0,10.0,15.0,4.0,0.0,3.0,4.2,7.5
0,1,25,90,1490,61031,33.4,183.0,64.0,5975.0,818.0,16.0,5.0,7.0,3.0,2.86,7.3
0,1,100,11,1,28243,45.8,60.0,7.0,1000.0,1.0,3.0,4.0,3.0,1.0,8.57,1000.0
0,1,18,141,37392,58237,38.1,270.0,117.0,162186.0,19290.0,16.0,5.0,19.0,3.0,2.31,8.41
0,1,20,119,9656,85962,41.8,213.0,61.0,76855.0,3175.0,12.0,4.0,18.0,3.0,3.49,24.21
0,1,111,18,34,119917,43.8,65.0,5.0,85.0,4.0,12.0,4.0,10.0,2.0,13.0,21.25
0,1,107,44,82,93520,37.3,99.0,13.0,193.0,29.0,12.0,5.0,15.0,2.0,7.62,6.66
