weekday,pick_hour,sum,lat,long
0,0,467,40.6743,-73.9784
0,0,503,40.6743,-73.9704
0,0,245,40.6743,-73.9624
0,0,296,40.6743,-73.9544
0,0,98,40.6743,-73.9464
0,0,59,40.6743,-73.9384
0,0,58,40.6743,-73.9304
0,0,7,40.6743,-73.9224
0,0,20,40.6743,-73.9144
0,0,6,40.6743,-73.9064
0,0,9,40.6743,-73.8984
0,0,3,40.6743,-73.8904
0,0,4,40.6743,-73.8824
0,0,11,40.6743,-73.8744
0,0,2,40.6743,-73.8664
0,0,3,40.6743,-73.8584
0,0,3,40.6743,-73.8504
0,0,4,40.6743,-73.8424
0,0,4,40.6743,-73.8344
0,0,4,40.6743,-73.8184
0,0,53,40.6743,-73.8024
0,0,3,40.6743,-73.7944
0,0,2,40.6743,-73.7624
0,0,5,40.6743,-73.7464
0,0,2,40.6743,-73.7304
0,0,42,40.6823,-74.0104
0,0,129,40.6823,-74.0024
0,0,1050,40.6823,-73.9944
0,0,115,40.6823,-73.9864
0,0,1730,40.6823,-73.9784
0,0,560,40.6823,-73.9704
0,0,233,40.6823,-73.9624
0,0,282,40.6823,-73.9544
0,0,205,40.6823,-73.9464
0,0,92,40.6823,-73.9384
0,0,64,40.6823,-73.9304
0,0,24,40.6823,-73.9224
0,0,28,40.6823,-73.9144
0,0,28,40.6823,-73.9064
0,0,2,40.6823,-73.8984
0,0,1,40.6823,-73.8824
0,0,3,40.6823,-73.8744
0,0,5,40.6823,-73.8664
0,0,1,40.6823,-73.8584
0,0,1,40.6823,-73.8504
0,0,2,40.6823,-73.8424
0,0,1,40.6823,-73.8344
0,0,3,40.6823,-73.8264
0,0,1,40.6823,-73.8184
0,0,13,40.6823,-73.8104
0,0,30,40.6823,-73.8024
0,0,1,40.6823,-73.7304
0,0,5,40.6903,-74.0184
0,0,1011,40.6903,-73.9944
0,0,1374,40.6903,-73.9864
0,0,1022,40.6903,-73.9784
0,0,844,40.6903,-73.9704
0,0,348,40.6903,-73.9624
0,0,479,40.6903,-73.9544
0,0,110,40.6903,-73.9464
0,0,68,40.6903,-73.9384
0,0,81,40.6903,-73.9304
0,0,109,40.6903,-73.9224
0,0,60,40.6903,-73.9144
0,0,8,40.6903,-73.9064
0,0,1,40.6903,-73.8744
0,0,1,40.6903,-73.8664
0,0,13,40.6903,-73.8584
0,0,3,40.6903,-73.8504
0,0,2,40.6903,-73.8344
0,0,6,40.6903,-73.8264
0,0,2,40.6903,-73.8184
0,0,52,40.6903,-73.8104
0,0,5,40.6903,-73.8024
0,0,1,40.6903,-73.7944
0,0,1,40.6903,-73.7464
0,0,471,40.6983,-73.9944
0,0,557,40.6983,-73.9864
0,0,43,40.6983,-73.9784
0,0,52,40.6983,-73.9704
0,0,46,40.6983,-73.9624
0,0,198,40.6983,-73.9544
0,0,159,40.6983,-73.9464
0,0,507,40.6983,-73.9384
0,0,370,40.6983,-73.9304
0,0,138,40.6983,-73.9224
0,0,102,40.6983,-73.9144
0,0,23,40.6983,-73.9064
0,0,11,40.6983,-73.8984
0,0,1,40.6983,-73.8824
0,0,2,40.6983,-73.8584
0,0,1,40.6983,-73.8504
0,0,8,40.6983,-73.8344
0,0,7,40.6983,-73.8264
0,0,33,40.6983,-73.8184
0,0,21,40.6983,-73.8104
0,0,2,40.6983,-73.8024
0,0,3,40.6983,-73.7304
0,0,869,40.7063,-74.0184
0,0,4858,40.7063,-74.0104
0,0,1366,40.7063,-74.0024
0,0,29,40.7063,-73.9704
0,0,531,40.7063,-73.9624
0,0,489,40.7063,-73.9544
0,0,348,40.7063,-73.9464
0,0,433,40.7063,-73.9384
0,0,481,40.7063,-73.9304
0,0,167,40.7063,-73.9224
0,0,18,40.7063,-73.9144
0,0,5,40.7063,-73.9064
0,0,9,40.7063,-73.8984
0,0,2,40.7063,-73.8904
0,0,3,40.7063,-73.8824
0,0,3,40.7063,-73.8744
0,0,3,40.7063,-73.8664
0,0,3,40.7063,-73.8584
0,0,2,40.7063,-73.8344
0,0,2,40.7063,-73.8264
0,0,101,40.7063,-73.8184
0,0,13,40.7063,-73.8104
0,0,4,40.7063,-73.8024
0,0,13,40.7063,-73.7944
0,0,1,40.7063,-73.7784
0,0,3995,40.7143,-74.0104
0,0,2544,40.7143,-74.0024
0,0,4336,40.7143,-73.9944
0,0,1693,40.7143,-73.9864
0,0,100,40.7143,-73.9784
0,0,3448,40.7143,-73.9624
0,0,4174,40.7143,-73.9544
0,0,1516,40.7143,-73.9464
0,0,424,40.7143,-73.9384
0,0,23,40.7143,-73.9304
0,0,5,40.7143,-73.9224
0,0,8,40.7143,-73.9144
0,0,29,40.7143,-73.9064
0,0,12,40.7143,-73.8984
0,0,5,40.7143,-73.8904
0,0,1,40.7143,-73.8824
0,0,7,40.7143,-73.8744
0,0,1,40.7143,-73.8584
0,0,3,40.7143,-73.8504
0,0,1,40.7143,-73.8424
0,0,40,40.7143,-73.8344
0,0,35,40.7143,-73.8264
0,0,42,40.7143,-73.8184
0,0,30,40.7143,-73.8104
0,0,2,40.7143,-73.8024
0,0,6,40.7143,-73.7944
0,0,7,40.7143,-73.7864
0,0,1,40.7143,-73.7784
0,0,1,40.7143,-73.7384
0,0,3001,40.7223,-74.0104
0,0,9359,40.7223,-74.0024
0,0,17592,40.7223,-73.9944
0,0,19610,40.7223,-73.9864
0,0,2331,40.7223,-73.9784
0,0,574,40.7223,-73.9624
0,0,2057,40.7223,-73.9544
0,0,573,40.7223,-73.9464
0,0,95,40.7223,-73.9384
0,0,1,40.7223,-73.9304
0,0,20,40.7223,-73.9064
0,0,17,40.7223,-73.8984
0,0,7,40.7223,-73.8904
0,0,2,40.7223,-73.8744
0,0,21,40.7223,-73.8664
0,0,11,40.7223,-73.8584
0,0,16,40.7223,-73.8504
0,0,97,40.7223,-73.8424
0,0,30,40.7223,-73.8344
0,0,3,40.7223,-73.8264
0,0,2,40.7223,-73.8104
0,0,5,40.7223,-73.8024
0,0,3,40.7223,-73.7944
0,0,1,40.7223,-73.7864
0,0,2247,40.7303,-74.0104
0,0,25593,40.7303,-74.0024
0,0,9143,40.7303,-73.9944
0,0,19393,40.7303,-73.9864
0,0,4827,40.7303,-73.9784
0,0,672,40.7303,-73.9544
0,0,78,40.7303,-73.9464
0,0,5,40.7303,-73.9304
0,0,12,40.7303,-73.9224
0,0,7,40.7303,-73.9144
0,0,14,40.7303,-73.9064
0,0,3,40.7303,-73.8984
0,0,7,40.7303,-73.8904
0,0,12,40.7303,-73.8824
0,0,56,40.7303,-73.8744
0,0,129,40.7303,-73.8664
0,0,71,40.7303,-73.8584
0,0,31,40.7303,-73.8504
0,0,26,40.7303,-73.8424
0,0,7,40.7303,-73.8344
0,0,7,40.7303,-73.8264
0,0,2,40.7303,-73.8184
0,0,1,40.7303,-73.8104
0,0,1,40.7303,-73.8024
0,0,5,40.7303,-73.7944
0,0,1,40.7303,-73.7464
0,0,1,40.7303,-73.7224
0,0,8532,40.7383,-74.0104
0,0,21275,40.7383,-74.0024
0,0,10989,40.7383,-73.9944
0,0,11934,40.7383,-73.9864
0,0,5212,40.7383,-73.9784
0,0,264,40.7383,-73.9544
0,0,32,40.7383,-73.9464
0,0,46,40.7383,-73.9384
0,0,60,40.7383,-73.9304
0,0,66,40.7383,-73.9224
0,0,23,40.7383,-73.9144
0,0,73,40.7383,-73.9064
0,0,93,40.7383,-73.8984
0,0,29,40.7383,-73.8904
0,0,94,40.7383,-73.8824
0,0,87,40.7383,-73.8744
0,0,15,40.7383,-73.8664
0,0,25,40.7383,-73.8584
0,0,22,40.7383,-73.8504
0,0,31,40.7383,-73.8424
0,0,10,40.7383,-73.8344
0,0,6,40.7383,-73.8264
0,0,3,40.7383,-73.8184
0,0,2,40.7383,-73.8104
0,0,1,40.7383,-73.8024
0,0,1,40.7383,-73.7944
0,0,2,40.7383,-73.7864
0,0,1,40.7383,-73.7784
0,0,2,40.7383,-73.7064
0,0,8097,40.7463,-74.0024
0,0,20669,40.7463,-73.9944
0,0,22021,40.7463,-73.9864
0,0,11687,40.7463,-73.9784
0,0,2906,40.7463,-73.9704
0,0,632,40.7463,-73.9544
0,0,444,40.7463,-73.9464
0,0,555,40.7463,-73.9384
0,0,251,40.7463,-73.9304
0,0,888,40.7463,-73.9224
0,0,391,40.7463,-73.9144
0,0,184,40.7463,-73.9064
0,0,236,40.7463,-73.8984
0,0,641,40.7463,-73.8904
0,0,303,40.7463,-73.8824
0,0,95,40.7463,-73.8744
0,0,59,40.7463,-73.8664
0,0,12,40.7463,-73.8584
0,0,6,40.7463,-73.8504
0,0,4,40.7463,-73.8424
0,0,6,40.7463,-73.8344
0,0,14,40.7463,-73.8264
0,0,3,40.7463,-73.8184
0,0,2,40.7463,-73.7784
0,0,7,40.7463,-73.7704
0,0,2,40.7463,-73.7144
0,0,4425,40.7543,-74.0024
0,0,20202,40.7543,-73.9944
0,0,24279,40.7543,-73.9864
0,0,11666,40.7543,-73.9784
0,0,10904,40.7543,-73.9704
0,0,342,40.7543,-73.9464
0,0,1143,40.7543,-73.9384
0,0,472,40.7543,-73.9304
0,0,536,40.7543,-73.9224
0,0,166,40.7543,-73.9144
0,0,201,40.7543,-73.9064
0,0,93,40.7543,-73.8984
0,0,87,40.7543,-73.8904
0,0,176,40.7543,-73.8824
0,0,91,40.7543,-73.8744
0,0,36,40.7543,-73.8664
0,0,23,40.7543,-73.8584
0,0,7,40.7543,-73.8504
0,0,9,40.7543,-73.8424
0,0,3,40.7543,-73.8264
0,0,4,40.7543,-73.8184
0,0,2,40.7543,-73.7864
0,0,5,40.7543,-73.7784
0,0,1,40.7543,-73.7704
0,0,3,40.7543,-73.7624
0,0,1,40.7543,-73.7064
0,0,10716,40.7623,-73.9944
0,0,26760,40.7623,-73.9864
0,0,14493,40.7623,-73.9784
0,0,13770,40.7623,-73.9704
0,0,7237,40.7623,-73.9624
0,0,1619,40.7623,-73.9544
0,0,293,40.7623,-73.9384
0,0,512,40.7623,-73.9304
0,0,985,40.7623,-73.9224
0,0,616,40.7623,-73.9144
0,0,52,40.7623,-73.9064
0,0,14,40.7623,-73.8984
0,0,43,40.7623,-73.8904
0,0,15,40.7623,-73.8824
0,0,32,40.7623,-73.8744
0,0,14,40.7623,-73.8664
0,0,2,40.7623,-73.8424
0,0,30,40.7623,-73.8344
0,0,22,40.7623,-73.8264
0,0,5,40.7623,-73.8184
0,0,8,40.7623,-73.8104
0,0,2,40.7623,-73.8024
0,0,1,40.7623,-73.7784
0,0,9,40.7623,-73.7704
0,0,1494,40.7703,-73.9944
0,0,7473,40.7703,-73.9864
0,0,6177,40.7703,-73.9784
0,0,880,40.7703,-73.9704
0,0,3895,40.7703,-73.9624
0,0,5781,40.7703,-73.9544
0,0,216,40.7703,-73.9304
0,0,658,40.7703,-73.9224
0,0,670,40.7703,-73.9144
0,0,150,40.7703,-73.9064
0,0,47,40.7703,-73.8984
0,0,66,40.7703,-73.8904
0,0,164,40.7703,-73.8824
0,0,11001,40.7703,-73.8744
0,0,7161,40.7703,-73.8664
0,0,47,40.7703,-73.8584
0,0,6,40.7703,-73.8344
0,0,1,40.7703,-73.7704
0,0,1688,40.7783,-73.9864
0,0,6014,40.7783,-73.9784
0,0,535,40.7783,-73.9704
0,0,2139,40.7783,-73.9624
0,0,7197,40.7783,-73.9544
0,0,2821,40.7783,-73.9464
0,0,97,40.7783,-73.9224
0,0,231,40.7783,-73.9144
0,0,79,40.7783,-73.9064
0,0,1,40.7783,-73.8984
0,0,82,40.7783,-73.8744
0,0,1,40.7783,-73.8424
0,0,6795,40.7863,-73.9784
0,0,2041,40.7863,-73.9704
0,0,91,40.7863,-73.9624
0,0,1717,40.7863,-73.9544
0,0,1935,40.7863,-73.9464
0,0,9,40.7863,-73.9304
0,0,2,40.7863,-73.9224
0,0,7,40.7863,-73.9144
0,0,2,40.7863,-73.8984
0,0,3,40.7863,-73.8264
0,0,1,40.7863,-73.8184
0,0,1,40.7863,-73.7784
0,0,358,40.7943,-73.9784
0,0,4220,40.7943,-73.9704
0,0,843,40.7943,-73.9624
0,0,287,40.7943,-73.9544
0,0,868,40.7943,-73.9464
0,0,1103,40.7943,-73.9384
0,0,16,40.7943,-73.9224
0,0,1,40.7943,-73.8264
0,0,2257,40.8023,-73.9704
0,0,2089,40.8023,-73.9624
0,0,1130,40.8023,-73.9544
0,0,472,40.8023,-73.9464
0,0,858,40.8023,-73.9384
0,0,241,40.8023,-73.9304
0,0,21,40.8023,-73.9224
0,0,11,40.8023,-73.9144
0,0,1,40.8023,-73.9064
0,0,1223,40.8103,-73.9624
0,0,928,40.8103,-73.9544
0,0,665,40.8103,-73.9464
0,0,283,40.8103,-73.9384
0,0,144,40.8103,-73.9304
0,0,83,40.8103,-73.9224
0,0,7,40.8103,-73.9144
0,0,6,40.8103,-73.9064
0,0,712,40.8183,-73.9544
0,0,313,40.8183,-73.9464
0,0,280,40.8183,-73.9384
0,0,34,40.8183,-73.9304
0,0,19,40.8183,-73.9224
0,0,25,40.8183,-73.9144
0,0,4,40.8183,-73.9064
0,0,7,40.8183,-73.8984
0,0,4,40.8183,-73.8904
0,0,1,40.8183,-73.8824
0,0,2,40.8183,-73.8664
0,0,1,40.8183,-73.8344
0,0,3,40.8183,-73.8024
0,0,383,40.8263,-73.9544
0,0,734,40.8263,-73.9464
0,0,222,40.8263,-73.9384
0,0,15,40.8263,-73.9304
0,0,51,40.8263,-73.9224
0,0,12,40.8263,-73.9144
0,0,7,40.8263,-73.9064
0,0,1,40.8263,-73.8984
0,0,5,40.8263,-73.8904
0,0,5,40.8263,-73.8824
0,0,7,40.8263,-73.8744
0,0,3,40.8263,-73.8664
0,0,10,40.8263,-73.8584
0,0,6,40.8263,-73.8504
0,0,1,40.8263,-73.8344
0,0,4,40.8263,-73.8264
0,0,488,40.8343,-73.9464
0,0,156,40.8343,-73.9384
0,0,9,40.8343,-73.9304
0,0,29,40.8343,-73.9224
0,0,7,40.8343,-73.9144
0,0,10,40.8343,-73.9064
0,0,4,40.8343,-73.8984
0,0,9,40.8343,-73.8904
0,0,5,40.8343,-73.8824
0,0,1,40.8343,-73.8744
0,0,1,40.8343,-73.8664
