0,0,1.0,22207
0,0,5.0,24581
0,0,6.0,66009
0,0,7.0,10076
0,0,9.0,40388
0,0,10.0,26566
0,0,13.0,43618
0,0,14.0,75754
0,0,17.0,47800
0,0,18.0,62189
0,0,19.0,24893
0,0,20.0,16854
0,0,22.0,3219
0,0,23.0,5819
0,0,24.0,10279
0,0,25.0,2047
0,0,26.0,3209
0,0,28.0,2641
0,0,30.0,1508
0,0,32.0,1128
0,0,33.0,1306
0,0,34.0,831
0,0,40.0,371
0,0,41.0,29
0,0,42.0,27
0,0,43.0,64
0,0,44.0,161
0,0,45.0,33
0,0,46.0,96
0,0,47.0,29
0,0,48.0,12
0,0,49.0,44
0,0,50.0,75
0,0,52.0,34
0,0,60.0,25
0,0,61.0,29
0,0,62.0,42
0,0,63.0,52
0,0,66.0,57
0,0,67.0,32
0,0,68.0,86
0,0,69.0,7
0,0,70.0,366
0,0,71.0,450
0,0,72.0,213
0,0,73.0,105
0,0,75.0,58
0,0,76.0,1115
0,0,77.0,932
0,0,78.0,3786
0,0,79.0,833
0,0,81.0,917
0,0,83.0,816
0,0,84.0,5666
0,0,88.0,2724
0,0,90.0,10468
0,0,94.0,5995
0,0,100.0,10
0,0,101.0,5
0,0,102.0,266
0,0,103.0,108
0,0,104.0,161
0,0,105.0,21
0,0,106.0,50
0,0,107.0,120
0,0,108.0,5000
0,0,109.0,111
0,0,110.0,895
0,0,111.0,44
0,0,112.0,503
0,0,113.0,29533
0,0,114.0,5348
0,0,115.0,19711
0,0,120.0,40
0,0,122.0,7
0,0,123.0,15
0,1,1.0,12879
0,1,5.0,14471
0,1,6.0,46563
0,1,7.0,7042
0,1,9.0,28104
0,1,10.0,17230
0,1,13.0,25352
0,1,14.0,42711
0,1,17.0,28767
0,1,18.0,37601
0,1,19.0,12937
0,1,20.0,9842
0,1,22.0,1543
0,1,23.0,3342
0,1,24.0,6278
0,1,25.0,1503
0,1,26.0,2096
0,1,28.0,1785
0,1,30.0,988
0,1,32.0,769
0,1,33.0,747
0,1,34.0,427
0,1,40.0,279
0,1,41.0,32
0,1,42.0,21
0,1,43.0,44
0,1,44.0,89
0,1,45.0,19
0,1,46.0,97
0,1,47.0,25
0,1,48.0,27
0,1,49.0,23
0,1,50.0,53
0,1,52.0,48
0,1,60.0,7
0,1,61.0,39
0,1,62.0,20
0,1,63.0,42
0,1,66.0,69
