day,hour,precinct,criminal,traffic,population,age
0,0,44,157,162,141055.0,31.5
0,0,103,75,115,68981.0,39.3
0,0,28,40,2688,50095.0,34.8
0,0,105,78,21,200852.0,40.1
0,0,13,68,42555,49348.0,34.2
0,0,71,101,460,111325.0,34.3
0,0,7,47,10964,72789.0,41.1
0,0,46,96,94,136982.0,29.9
0,0,48,93,12,130442.0,28.9
0,0,19,65,24916,221922.0,39.9
0,0,41,79,32,55492.0,30.3
0,0,14,59,77428,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,47903,97402.0,38.4
0,0,61,87,29,150931.0,39.9
0,0,102,97,263,154987.0,35.5
0,0,110,68,884,142289.0,35.8
0,0,108,63,5020,139088.0,37.1
0,0,75,219,64,185182.0,33.0
0,0,73,122,98,94149.0,32.3
0,0,60,145,25,109876.0,43.7
0,0,68,43,89,125011.0,39.4
0,0,79,80,884,75318.0,29.1
0,0,23,93,5726,59777.0,34.5
0,0,42,67,27,139743.0,29.4
0,0,115,131,19739,180562.0,35.0
0,0,52,129,31,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,219,151258.0,33.3
0,0,109,111,111,250162.0,42.8
0,0,24,66,10564,124447.0,43.4
0,0,81,72,934,67371.0,33.2
0,0,90,108,10519,124082.0,30.9
0,0,112,65,499,114637.0,42.1
0,0,43,169,63,189556.0,34.2
0,0,84,66,5602,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,920,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,803,135837.0,30.4
0,0,113,108,29531,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,357,162030.0,34.3
0,0,69,59,8,88367.0,37.1
0,0,66,58,57,164842.0,27.9
0,0,114,144,5302,172468.0,35.1
0,0,76,29,1115,42463.0,36.5
0,0,63,59,53,116657.0,38.6
0,0,45,67,33,122417.0,42.9
0,0,106,97,48,137073.0,38.7
0,0,10,32,24839,77205.0,37.1
0,0,78,39,3820,73881.0,35.4
0,0,6,52,66325,66772.0,36.5
0,0,5,24,24112,44898.0,40.0
0,0,94,60,5959,33351.0,34.7
0,0,40,134,365,98324.0,28.7
0,0,34,122,833,126204.0,36.3
0,0,32,88,1125,85872.0,33.7
0,0,50,44,75,58653.0,37.6
0,0,25,89,2047,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,62418,58237.0,38.1
0,0,20,40,16672,85962.0,41.8
0,0,111,63,44,119917.0,43.8
0,0,107,69,120,93520.0,37.3
0,0,30,49,1536,63956.0,34.1
0,0,49,102,46,129501.0,36.0
0,0,88,54,2718,74233.0,34.1
0,0,26,33,3177,65925.0,30.4
0,0,123,50,15,165632.0,41.6
0,0,9,94,40360,43022.0,32.4
0,0,104,95,162,174240.0,37.3
0,0,33,65,1300,92476.0,34.6
0,0,62,99,42,189076.0,38.4
0,0,22,4,3298,0.0,0.0
0,0,1,10,1000,88716.0,34.0
0,1,44,101,88,141055.0,31.5
0,1,103,56,48,68981.0,39.3
0,1,28,25,1815,50095.0,34.8
0,1,105,69,9,200852.0,40.1
0,1,13,26,24458,49348.0,34.2
0,1,71,59,440,111325.0,34.3
0,1,7,32,7674,72789.0,41.1
0,1,46,82,98,136982.0,29.9
0,1,48,81,26,130442.0,28.9
0,1,19,48,12950,221922.0,39.9
0,1,41,51,32,55492.0,30.3
0,1,14,63,44045,16368.0,33.2
0,1,67,107,45,138643.0,37.8
0,1,17,13,28786,97402.0,38.4
0,1,61,44,39,150931.0,39.9
0,1,102,73,187,154987.0,35.5
0,1,110,74,935,142289.0,35.8
0,1,108,46,4231,139088.0,37.1
0,1,75,143,65,185182.0,33.0
0,1,73,72,115,94149.0,32.3
0,1,60,57,7,109876.0,43.7
0,1,68,27,78,125011.0,39.4
0,1,79,48,707,75318.0,29.1
0,1,23,58,3332,59777.0,34.5
0,1,42,57,22,139743.0,29.4
0,1,115,99,3181,180562.0,35.0
0,1,52,93,46,131423.0,32.3
0,1,122,37,9,135323.0,41.4
0,1,1,30,12913,88716.0,34.0
0,1,72,49,164,151258.0,33.3
0,1,109,49,89,250162.0,42.8
0,1,24,34,6470,124447.0,43.4
0,1,81,50,788,67371.0,33.2
0,1,90,72,7637,124082.0,30.9
0,1,112,27,254,114637.0,42.1
0,1,43,116,43,189556.0,34.2
0,1,84,20,3276,66385.0,35.0
0,1,47,89,25,144341.0,35.6
0,1,77,49,761,127627.0,34.2
0,1,101,39,6,93267.0,33.3
0,1,83,58,670,135837.0,30.4
0,1,113,87,12176,239699.0,35.9
0,1,120,81,40,172369.0,35.9
0,1,70,67,231,162030.0,34.3
0,1,69,49,18,88367.0,37.1
0,1,66,35,63,164842.0,27.9
0,1,114,71,4393,172468.0,35.1
0,1,76,14,662,42463.0,36.5
0,1,63,44,41,116657.0,38.6
0,1,45,40,19,122417.0,42.9
0,1,106,56,38,137073.0,38.7
0,1,10,39,16141,77205.0,37.1
0,1,78,20,2391,73881.0,35.4
0,1,6,54,46751,66772.0,36.5
0,1,5,23,14069,44898.0,40.0
0,1,94,37,4206,33351.0,34.7
0,1,40,112,276,98324.0,28.7
0,1,34,62,439,126204.0,36.3
0,1,32,49,763,85872.0,33.7
0,1,50,35,53,58653.0,37.6
0,1,25,40,1492,61031.0,33.4
0,1,100,11,1,28243.0,45.8
0,1,18,41,37616,58237.0,38.1
0,1,20,19,9697,85962.0,41.8
0,1,111,18,34,119917.0,43.8
0,1,107,44,88,93520.0,37.3
0,1,30,37,1014,63956.0,34.1
0,1,49,57,23,129501.0,36.0
0,1,88,29,1444,74233.0,34.1
0,1,26,22,2049,65925.0,30.4
0,1,123,20,5,165632.0,41.6
0,1,9,37,28218,43022.0,32.4
0,1,104,56,122,174240.0,37.3
0,1,33,33,732,92476.0,34.6
0,1,62,45,19,189076.0,38.4
0,1,22,3,1553,0.0,0.0
0,2,44,86,54,141055.0,31.5
0,2,103,41,41,68981.0,39.3
0,2,28,22,1140,50095.0,34.8
0,2,105,60,10,200852.0,40.1
0,2,13,37,15029,49348.0,34.2
0,2,71,46,221,111325.0,34.3
0,2,7,24,5430,72789.0,41.1
0,2,46,81,46,136982.0,29.9
0,2,48,65,11,130442.0,28.9
0,2,19,31,7959,221922.0,39.9
0,2,41,28,27,55492.0,30.3
0,2,14,32,27892,16368.0,33.2
0,2,67,64,43,138643.0,37.8
0,2,17,19,17369,97402.0,38.4
0,2,61,25,37,150931.0,39.9
0,2,102,52,62,154987.0,35.5
0,2,110,60,930,142289.0,35.8
0,2,108,47,3374,139088.0,37.1
0,2,75,110,48,185182.0,33.0
0,2,73,58,65,94149.0,32.3
0,2,60,47,5,109876.0,43.7
0,2,68,24,65,125011.0,39.4
0,2,79,49,486,75318.0,29.1
0,2,23,37,2161,59777.0,34.5
0,2,42,44,23,139743.0,29.4
0,2,115,100,1170,180562.0,35.0
0,2,52,58,15,131423.0,32.3
0,2,122,34,3,135323.0,41.4
0,2,1,25,7486,88716.0,34.0
0,2,72,37,100,151258.0,33.3
0,2,109,39,102,250162.0,42.8
0,2,24,22,4023,124447.0,43.4
0,2,81,36,620,67371.0,33.2
0,2,90,38,6009,124082.0,30.9
0,2,112,16,219,114637.0,42.1
0,2,43,87,40,189556.0,34.2
0,2,84,24,1812,66385.0,35.0
0,2,47,65,22,144341.0,35.6
0,2,77,45,407,127627.0,34.2
0,2,101,24,8,93267.0,33.3
0,2,83,64,477,135837.0,30.4
0,2,113,67,3844,239699.0,35.9
0,2,120,59,32,172369.0,35.9
0,2,70,61,221,162030.0,34.3
0,2,69,33,8,88367.0,37.1
0,2,66,29,58,164842.0,27.9
0,2,114,74,3391,172468.0,35.1
0,2,76,11,393,42463.0,36.5
0,2,63,37,50,116657.0,38.6
0,2,45,40,8,122417.0,42.9
0,2,106,43,44,137073.0,38.7
0,2,10,28,13282,77205.0,37.1
0,2,78,25,1496,73881.0,35.4
0,2,6,36,35911,66772.0,36.5
0,2,5,22,9427,44898.0,40.0
0,2,94,20,3059,33351.0,34.7
0,2,40,66,196,98324.0,28.7
0,2,34,60,231,126204.0,36.3
0,2,32,30,522,85872.0,33.7
0,2,50,21,30,58653.0,37.6
0,2,25,32,933,61031.0,33.4
0,2,100,15,2,28243.0,45.8
0,2,18,35,24971,58237.0,38.1
0,2,20,14,4928,85962.0,41.8
0,2,111,14,4,119917.0,43.8
0,2,107,31,29,93520.0,37.3
0,2,30,31,722,63956.0,34.1
0,2,49,41,25,129501.0,36.0
0,2,88,12,947,74233.0,34.1
0,2,26,11,1380,65925.0,30.4
0,2,123,18,1,165632.0,41.6
0,2,9,33,20337,43022.0,32.4
0,2,104,50,50,174240.0,37.3
0,2,33,37,502,92476.0,34.6
0,2,62,34,11,189076.0,38.4
0,2,22,1,729,0.0,0.0
0,3,44,64,84,141055.0,31.5
0,3,103,30,14,68981.0,39.3
0,3,28,18,761,50095.0,34.8
0,3,105,30,5,200852.0,40.1
0,3,13,21,9812,49348.0,34.2
0,3,71,41,190,111325.0,34.3
0,3,7,17,3606,72789.0,41.1
0,3,46,40,68,136982.0,29.9
0,3,48,55,9,130442.0,28.9
0,3,19,22,5539,221922.0,39.9
0,3,41,39,33,55492.0,30.3
0,3,14,29,15238,16368.0,33.2
0,3,67,73,18,138643.0,37.8
0,3,17,14,11359,97402.0,38.4
0,3,61,29,9,150931.0,39.9
0,3,102,37,70,154987.0,35.5
0,3,110,50,667,142289.0,35.8
0,3,108,40,2638,139088.0,37.1
0,3,75,73,22,185182.0,33.0
0,3,73,45,41,94149.0,32.3
0,3,60,31,7,109876.0,43.7
0,3,68,16,22,125011.0,39.4
0,3,79,31,328,75318.0,29.1
0,3,23,18,1783,59777.0,34.5
0,3,42,35,12,139743.0,29.4
0,3,115,96,1039,180562.0,35.0
0,3,52,47,39,131423.0,32.3
0,3,122,17,6,135323.0,41.4
0,3,1,18,4895,88716.0,34.0
0,3,72,30,89,151258.0,33.3
0,3,109,33,69,250162.0,42.8
0,3,24,18,3021,124447.0,43.4
0,3,81,37,473,67371.0,33.2
0,3,90,22,4421,124082.0,30.9
0,3,112,14,124,114637.0,42.1
0,3,43,56,24,189556.0,34.2
0,3,84,14,1111,66385.0,35.0
0,3,47,53,18,144341.0,35.6
0,3,77,33,243,127627.0,34.2
0,3,101,17,16,93267.0,33.3
0,3,83,66,343,135837.0,30.4
0,3,113,50,1669,239699.0,35.9
0,3,120,39,56,172369.0,35.9
0,3,70,36,107,162030.0,34.3
0,3,69,23,14,88367.0,37.1
0,3,66,31,46,164842.0,27.9
0,3,114,60,2463,172468.0,35.1
0,3,76,12,294,42463.0,36.5
0,3,63,25,25,116657.0,38.6
0,3,45,31,11,122417.0,42.9
0,3,106,47,25,137073.0,38.7
0,3,10,34,10213,77205.0,37.1
0,3,78,12,765,73881.0,35.4
0,3,6,28,25962,66772.0,36.5
0,3,5,16,6120,44898.0,40.0
0,3,94,17,1992,33351.0,34.7
0,3,40,52,142,98324.0,28.7
0,3,34,44,127,126204.0,36.3
0,3,32,33,369,85872.0,33.7
0,3,50,26,11,58653.0,37.6
0,3,25,23,813,61031.0,33.4
0,3,18,34,19308,58237.0,38.1
0,3,20,12,3188,85962.0,41.8
0,3,111,11,22,119917.0,43.8
0,3,107,28,61,93520.0,37.3
0,3,30,31,484,63956.0,34.1
0,3,49,20,13,129501.0,36.0
0,3,88,12,545,74233.0,34.1
0,3,26,16,1039,65925.0,30.4
0,3,123,8,5,165632.0,41.6
0,3,9,16,14716,43022.0,32.4
0,3,104,31,76,174240.0,37.3
0,3,33,26,305,92476.0,34.6
0,3,62,34,22,189076.0,38.4
0,3,22,2,534,0.0,0.0
0,3,100,10,1000,28243.0,45.8
0,4,44,63,99,141055.0,31.5
0,4,103,49,30,68981.0,39.3
0,4,28,13,1037,50095.0,34.8
0,4,105,31,14,200852.0,40.1
0,4,13,28,11417,49348.0,34.2
0,4,71,49,201,111325.0,34.3
0,4,7,22,2872,72789.0,41.1
0,4,46,45,65,136982.0,29.9
0,4,48,35,19,130442.0,28.9
0,4,19,19,9567,221922.0,39.9
0,4,41,28,35,55492.0,30.3
0,4,14,45,18827,16368.0,33.2
0,4,67,54,20,138643.0,37.8
0,4,17,12,13513,97402.0,38.4
0,4,61,28,26,150931.0,39.9
0,4,102,50,93,154987.0,35.5
0,4,110,62,998,142289.0,35.8
0,4,108,41,3758,139088.0,37.1
0,4,75,60,16,185182.0,33.0
0,4,73,32,34,94149.0,32.3
0,4,60,18,6,109876.0,43.7
0,4,68,10,32,125011.0,39.4
0,4,79,31,248,75318.0,29.1
