day,hour,sum,lat,long
1,9,1,40.4983,-74.2504
2,10,1,40.4983,-74.2504
3,15,1,40.4983,-74.2504
4,11,1,40.4983,-74.2504
4,19,1,40.4983,-74.2504
5,12,1,40.4983,-74.2504
6,0,1,40.4983,-74.2504
6,19,1,40.4983,-74.2504
6,20,1,40.4983,-74.2504
0,0,2,40.4983,-74.2424
0,8,1,40.4983,-74.2424
0,10,1,40.4983,-74.2424
0,13,1,40.4983,-74.2424
0,17,1,40.4983,-74.2424
1,0,1,40.4983,-74.2424
1,1,2,40.4983,-74.2424
1,7,1,40.4983,-74.2424
1,11,1,40.4983,-74.2424
1,12,1,40.4983,-74.2424
1,17,1,40.4983,-74.2424
1,19,1,40.4983,-74.2424
1,20,1,40.4983,-74.2424
2,3,1,40.4983,-74.2424
2,11,1,40.4983,-74.2424
2,13,1,40.4983,-74.2424
2,14,1,40.4983,-74.2424
2,18,1,40.4983,-74.2424
2,22,1,40.4983,-74.2424
2,23,1,40.4983,-74.2424
3,1,1,40.4983,-74.2424
3,3,1,40.4983,-74.2424
3,8,1,40.4983,-74.2424
3,10,1,40.4983,-74.2424
3,15,1,40.4983,-74.2424
3,16,1,40.4983,-74.2424
3,18,2,40.4983,-74.2424
3,22,1,40.4983,-74.2424
3,23,2,40.4983,-74.2424
4,1,1,40.4983,-74.2424
4,3,1,40.4983,-74.2424
4,4,1,40.4983,-74.2424
4,7,2,40.4983,-74.2424
4,14,1,40.4983,-74.2424
4,15,2,40.4983,-74.2424
4,22,1,40.4983,-74.2424
4,23,1,40.4983,-74.2424
5,0,1,40.4983,-74.2424
5,9,2,40.4983,-74.2424
6,4,1,40.4983,-74.2424
6,11,2,40.4983,-74.2424
6,17,1,40.4983,-74.2424
0,0,1,40.5063,-74.2504
0,10,1,40.5063,-74.2504
0,11,1,40.5063,-74.2504
0,14,1,40.5063,-74.2504
0,15,1,40.5063,-74.2504
0,16,2,40.5063,-74.2504
0,17,1,40.5063,-74.2504
0,21,3,40.5063,-74.2504
0,22,2,40.5063,-74.2504
1,1,1,40.5063,-74.2504
1,2,2,40.5063,-74.2504
1,7,1,40.5063,-74.2504
1,11,1,40.5063,-74.2504
1,12,1,40.5063,-74.2504
1,14,1,40.5063,-74.2504
1,16,2,40.5063,-74.2504
1,18,1,40.5063,-74.2504
1,21,1,40.5063,-74.2504
1,22,3,40.5063,-74.2504
2,0,2,40.5063,-74.2504
2,1,1,40.5063,-74.2504
2,5,1,40.5063,-74.2504
2,8,1,40.5063,-74.2504
2,12,2,40.5063,-74.2504
2,13,2,40.5063,-74.2504
2,14,3,40.5063,-74.2504
2,15,2,40.5063,-74.2504
2,16,1,40.5063,-74.2504
2,18,4,40.5063,-74.2504
2,19,1,40.5063,-74.2504
2,20,1,40.5063,-74.2504
2,22,2,40.5063,-74.2504
2,23,1,40.5063,-74.2504
3,2,1,40.5063,-74.2504
3,3,1,40.5063,-74.2504
3,9,2,40.5063,-74.2504
3,10,1,40.5063,-74.2504
3,14,3,40.5063,-74.2504
3,15,2,40.5063,-74.2504
3,16,1,40.5063,-74.2504
3,17,1,40.5063,-74.2504
3,18,2,40.5063,-74.2504
3,20,1,40.5063,-74.2504
3,23,1,40.5063,-74.2504
4,1,1,40.5063,-74.2504
4,3,1,40.5063,-74.2504
4,9,1,40.5063,-74.2504
4,10,1,40.5063,-74.2504
4,11,1,40.5063,-74.2504
4,12,1,40.5063,-74.2504
4,16,1,40.5063,-74.2504
4,17,2,40.5063,-74.2504
4,18,2,40.5063,-74.2504
4,19,1,40.5063,-74.2504
4,20,1,40.5063,-74.2504
4,22,1,40.5063,-74.2504
4,23,1,40.5063,-74.2504
5,1,2,40.5063,-74.2504
5,2,1,40.5063,-74.2504
5,4,1,40.5063,-74.2504
5,6,1,40.5063,-74.2504
5,10,2,40.5063,-74.2504
5,13,1,40.5063,-74.2504
5,14,1,40.5063,-74.2504
5,15,1,40.5063,-74.2504
5,18,2,40.5063,-74.2504
5,20,1,40.5063,-74.2504
5,22,1,40.5063,-74.2504
6,2,2,40.5063,-74.2504
6,3,1,40.5063,-74.2504
6,4,1,40.5063,-74.2504
6,5,1,40.5063,-74.2504
6,11,1,40.5063,-74.2504
6,14,1,40.5063,-74.2504
6,19,1,40.5063,-74.2504
6,20,2,40.5063,-74.2504
6,21,1,40.5063,-74.2504
