day,hour,precinct,criminal,traffic
0,4,105,31,14
0,4,13,28,11682
0,4,71,49,189
0,4,7,22,2959
0,4,46,45,65
0,4,48,35,19
0,4,19,19,9538
0,4,41,28,35
0,4,14,45,18727
0,4,67,54,20
0,4,17,12,13416
0,4,61,28,26
0,4,102,50,94
0,4,110,62,944
0,4,108,41,3698
0,4,75,60,16
0,4,73,32,34
0,4,60,18,6
0,4,68,10,32
0,4,79,31,255
0,4,23,18,2971
0,4,42,18,25
0,4,115,115,1753
0,4,52,54,23
0,4,1,16,6134
0,4,72,42,51
0,4,109,29,52
0,4,24,7,4503
0,4,81,23,313
0,4,90,32,3488
0,4,112,11,109
0,4,43,53,43
0,4,84,13,1521
0,4,47,58,33
0,4,77,32,206
0,4,83,38,262
0,4,113,39,1844
0,4,120,39,55
0,4,70,29,140
0,4,69,17,17
0,4,66,28,77
0,4,114,58,4093
0,4,76,10,370
0,4,63,29,24
0,4,45,16,1
0,4,106,34,35
0,4,10,19,9083
0,4,78,13,696
0,4,6,27,18848
0,4,5,12,4787
0,4,94,23,1850
0,4,40,32,210
0,4,34,74,117
0,4,32,24,435
0,4,50,20,19
0,4,25,16,961
0,4,100,7,3
0,4,18,33,21068
0,4,20,11,5030
0,4,111,5,23
0,4,107,17,59
0,4,30,29,656
0,4,49,32,12
0,4,88,21,422
0,4,26,14,1189
0,4,123,6,1
0,4,9,20,12677
0,4,104,31,46
0,4,33,32,422
0,4,62,25,18
0,4,22,1,1026
0,4,122,10,1000
0,4,101,10,1000
0,5,44,42,136
0,5,103,27,59
0,5,28,9,1822
0,5,105,30,21
0,5,13,21,18047
0,5,71,24,216
0,5,7,11,2338
0,5,46,45,39
0,5,48,39,19
0,5,19,25,25290
0,5,41,29,43
0,5,14,26,33891
0,5,67,47,15
0,5,17,8,23335
0,5,61,30,31
0,5,102,27,162
0,5,110,37,712
0,5,108,37,4410
0,5,75,63,23
0,5,73,33,35
0,5,60,25,12
0,5,68,20,29
0,5,79,18,177
0,5,23,27,6449
0,5,42,20,14
0,5,115,52,1982
0,5,52,45,13
0,5,122,18,8
0,5,1,7,10701
0,5,72,38,83
0,5,109,26,94
0,5,24,17,9779
0,5,81,28,141
0,5,90,23,1518
0,5,112,16,361
0,5,43,46,31
0,5,84,13,2995
0,5,47,38,23
0,5,77,22,212
0,5,101,13,1
0,5,83,35,93
0,5,113,33,14954
0,5,120,27,87
0,5,70,37,216
0,5,69,16,8
0,5,66,23,106
0,5,114,41,5037
0,5,76,9,876
0,5,63,21,27
0,5,45,14,2
0,5,106,37,26
0,5,10,14,9223
0,5,78,10,1137
0,5,6,17,15352
0,5,5,16,4755
0,5,94,13,1219
0,5,40,31,259
0,5,34,38,109
0,5,32,20,625
0,5,50,32,16
0,5,25,14,1494
0,5,18,17,21372
0,5,20,12,10452
0,5,111,8,41
0,5,107,13,84
0,5,30,26,895
0,5,49,16,4
0,5,88,8,374
0,5,26,10,1566
0,5,123,7,4
0,5,9,16,12068
0,5,104,31,44
0,5,33,28,527
0,5,62,22,12
0,5,22,2,3550
0,5,100,10,1000
0,6,44,38,210
0,6,103,34,178
0,6,28,22,3288
0,6,105,39,72
0,6,13,22,46465
0,6,71,35,244
0,6,7,7,3312
0,6,46,49,63
0,6,48,43,15
0,6,19,19,75365
0,6,41,21,19
0,6,14,41,98006
0,6,67,41,13
0,6,17,17,61424
0,6,61,23,35
0,6,102,24,367
0,6,110,31,801
0,6,108,36,7810
0,6,75,69,31
0,6,73,55,32
0,6,60,19,5
0,6,68,19,67
0,6,79,29,174
0,6,23,34,16440
0,6,42,29,34
0,6,115,47,3950
0,6,52,50,19
0,6,122,22,3
0,6,1,11,28967
0,6,72,22,194
0,6,109,30,109
0,6,24,19,19455
0,6,81,40,121
0,6,90,22,1262
0,6,112,5,620
0,6,43,53,36
0,6,84,15,6317
0,6,47,46,15
0,6,77,46,267
0,6,83,28,82
0,6,113,41,26402
0,6,120,36,99
0,6,70,32,294
0,6,69,30,11
0,6,66,18,88
0,6,114,45,7750
0,6,76,11,2070
0,6,63,18,44
0,6,106,24,54
0,6,10,8,25443
0,6,78,22,1582
0,6,6,19,32361
0,6,5,8,9747
0,6,94,20,1293
0,6,40,34,355
0,6,34,25,117
0,6,32,36,1283
0,6,50,24,16
0,6,25,25,3416
0,6,100,17,6
0,6,18,19,41529
0,6,20,9,27435
0,6,111,12,27
0,6,107,29,116
0,6,30,11,1320
0,6,49,30,36
0,6,88,13,590
0,6,26,13,2440
0,6,123,9,4
0,6,9,14,22527
0,6,104,29,35
0,6,33,19,741
0,6,62,27,21
0,6,22,0,9534
0,6,101,10,1000
0,6,45,10,1000
0,7,44,55,315
0,7,103,77,200
0,7,28,25,6173
0,7,105,73,48
0,7,13,60,82012
0,7,71,59,268
0,7,7,27,4825
0,7,46,68,50
0,7,48,50,17
