weekday,pick_hour,sum,lat,long
0,0,5,40.5453,-74.2214
0,0,1,40.5573,-73.9274
0,0,1,40.5633,-73.9094
0,0,1,40.5753,-73.9814
0,0,1,40.5753,-73.9694
0,0,2,40.5753,-73.9634
0,0,1,40.5813,-73.9814
0,0,8,40.5813,-73.9694
0,0,2,40.5813,-73.9634
0,0,3,40.5813,-73.9574
0,0,7,40.5813,-73.9514
0,0,1,40.5873,-73.9874
0,0,1,40.5873,-73.9814
0,0,1,40.5873,-73.9754
0,0,4,40.5873,-73.9514
0,0,4,40.5873,-73.9334
0,0,4,40.5873,-73.8194
0,0,1,40.5933,-73.9814
0,0,1,40.5933,-73.9754
0,0,1,40.5933,-73.9514
0,0,1,40.5933,-73.7534
0,0,2,40.5993,-74.0054
0,0,6,40.5993,-73.9994
0,0,6,40.5993,-73.9934
0,0,13,40.5993,-73.9874
0,0,3,40.5993,-73.9814
0,0,1,40.5993,-73.9514
0,0,1,40.6053,-74.0114
0,0,1,40.6053,-73.9994
0,0,1,40.6053,-73.9934
0,0,1,40.6053,-73.9874
0,0,5,40.6053,-73.9754
0,0,1,40.6053,-73.9694
0,0,2,40.6053,-73.9634
0,0,5,40.6113,-74.1614
0,0,1,40.6113,-74.0894
0,0,4,40.6113,-74.0354
0,0,2,40.6113,-74.0114
0,0,1,40.6113,-74.0054
0,0,1,40.6113,-73.9874
0,0,3,40.6113,-73.9814
0,0,1,40.6113,-73.9754
0,0,1,40.6113,-73.9634
0,0,1,40.6113,-73.9574
0,0,1,40.6113,-73.9514
0,0,1,40.6113,-73.9214
0,0,1,40.6113,-73.8974
0,0,3,40.6173,-74.0294
0,0,3,40.6173,-74.0234
0,0,1,40.6173,-73.9994
0,0,2,40.6173,-73.9934
0,0,3,40.6173,-73.9874
0,0,1,40.6173,-73.9754
0,0,1,40.6173,-73.9694
0,0,1,40.6173,-73.9574
0,0,1,40.6173,-73.8434
0,0,7,40.6233,-74.0294
0,0,8,40.6233,-74.0234
0,0,6,40.6233,-73.9994
0,0,1,40.6233,-73.9814
0,0,3,40.6233,-73.9754
0,0,2,40.6233,-73.9694
0,0,9,40.6233,-73.9634
0,0,3,40.6233,-73.9574
0,0,1,40.6233,-73.9514
0,0,2,40.6233,-73.9454
0,0,2,40.6233,-73.9394
0,0,3,40.6293,-74.0294
0,0,1,40.6293,-74.0234
0,0,6,40.6293,-74.0174
0,0,2,40.6293,-74.0114
0,0,1,40.6293,-73.9874
0,0,1,40.6293,-73.9814
0,0,2,40.6293,-73.9754
0,0,16,40.6293,-73.9694
0,0,18,40.6293,-73.9634
0,0,4,40.6293,-73.9574
0,0,14,40.6293,-73.9454
0,0,2,40.6293,-73.9394
0,0,1,40.6293,-73.9334
0,0,5,40.6293,-73.9274
0,0,1,40.6293,-73.9034
0,0,3,40.6353,-74.0294
0,0,13,40.6353,-74.0234
0,0,3,40.6353,-74.0174
0,0,1,40.6353,-74.0054
0,0,3,40.6353,-73.9994
0,0,3,40.6353,-73.9814
0,0,6,40.6353,-73.9754
0,0,20,40.6353,-73.9694
0,0,3,40.6353,-73.9634
0,0,9,40.6353,-73.9574
0,0,19,40.6353,-73.9514
0,0,19,40.6353,-73.9454
0,0,2,40.6353,-73.9334
0,0,1,40.6353,-73.9274
0,0,1,40.6353,-73.9214
0,0,2,40.6353,-73.9034
0,0,1,40.6353,-73.8854
0,0,1,40.6413,-74.0774
0,0,1,40.6413,-74.0354
0,0,8,40.6413,-74.0234
0,0,27,40.6413,-74.0174
0,0,6,40.6413,-74.0114
0,0,3,40.6413,-73.9994
0,0,2,40.6413,-73.9934
0,0,15,40.6413,-73.9814
0,0,19,40.6413,-73.9754
0,0,52,40.6413,-73.9694
0,0,9,40.6413,-73.9634
0,0,28,40.6413,-73.9574
0,0,16,40.6413,-73.9514
0,0,6,40.6413,-73.9454
0,0,2,40.6413,-73.9274
0,0,1,40.6413,-73.9214
0,0,1,40.6413,-73.8014
0,0,7,40.6413,-73.7954
0,0,3685,40.6413,-73.7894
0,0,227,40.6413,-73.7834
0,0,2,40.6473,-74.0174
0,0,13,40.6473,-74.0114
0,0,5,40.6473,-74.0054
0,0,2,40.6473,-73.9994
0,0,3,40.6473,-73.9934
0,0,13,40.6473,-73.9814
0,0,20,40.6473,-73.9754
0,0,29,40.6473,-73.9694
0,0,30,40.6473,-73.9634
0,0,40,40.6473,-73.9574
0,0,7,40.6473,-73.9454
0,0,1,40.6473,-73.9274
0,0,1,40.6473,-73.9214
0,0,25,40.6473,-73.8074
0,0,173,40.6473,-73.8014
0,0,235,40.6473,-73.7954
0,0,5757,40.6473,-73.7894
0,0,13971,40.6473,-73.7834
0,0,4868,40.6473,-73.7774
0,0,4,40.6533,-74.0114
0,0,49,40.6533,-74.0054
0,0,8,40.6533,-73.9994
0,0,3,40.6533,-73.9814
0,0,9,40.6533,-73.9754
0,0,54,40.6533,-73.9634
0,0,74,40.6533,-73.9574
0,0,16,40.6533,-73.9514
0,0,1,40.6533,-73.9454
0,0,3,40.6533,-73.9394
0,0,3,40.6533,-73.9334
0,0,3,40.6533,-73.9274
0,0,1,40.6533,-73.9094
0,0,7,40.6533,-73.8674
0,0,81,40.6533,-73.8074
0,0,5,40.6533,-73.7954
0,0,51,40.6533,-73.7894
0,0,38,40.6533,-73.7834
0,0,2,40.6533,-73.7774
0,0,2,40.6593,-74.0054
0,0,37,40.6593,-73.9994
0,0,37,40.6593,-73.9934
0,0,43,40.6593,-73.9874
0,0,63,40.6593,-73.9814
0,0,11,40.6593,-73.9754
0,0,110,40.6593,-73.9634
0,0,42,40.6593,-73.9574
0,0,13,40.6593,-73.9514
0,0,4,40.6593,-73.9454
0,0,1,40.6593,-73.9394
0,0,7,40.6593,-73.9334
0,0,1,40.6593,-73.9274
0,0,2,40.6593,-73.9214
0,0,2,40.6593,-73.9034
0,0,1,40.6593,-73.8974
0,0,1,40.6593,-73.8914
0,0,2,40.6593,-73.8854
0,0,2,40.6593,-73.8254
0,0,58,40.6593,-73.8074
0,0,11,40.6593,-73.8014
0,0,79,40.6593,-73.7954
0,0,11,40.6593,-73.7894
0,0,7,40.6593,-73.7774
0,0,2,40.6593,-73.7534
0,0,11,40.6653,-73.9994
0,0,114,40.6653,-73.9934
0,0,145,40.6653,-73.9874
0,0,182,40.6653,-73.9814
0,0,15,40.6653,-73.9754
0,0,1,40.6653,-73.9694
0,0,48,40.6653,-73.9634
0,0,27,40.6653,-73.9574
0,0,43,40.6653,-73.9514
0,0,6,40.6653,-73.9454
