day,hour,precinct,criminal,traffic,population,age
0,2,67,64,42,138643.0,37.8
0,2,17,19,14829,97402.0,38.4
0,2,61,25,38,150931.0,39.9
0,2,102,52,40,154987.0,35.5
0,2,110,60,797,142289.0,35.8
0,2,108,47,2600,139088.0,37.1
0,2,75,110,44,185182.0,33.0
0,2,73,58,61,94149.0,32.3
0,2,60,47,7,109876.0,43.7
0,2,68,24,74,125011.0,39.4
0,2,79,49,290,75318.0,29.1
0,2,23,37,1278,59777.0,34.5
0,2,42,44,14,139743.0,29.4
0,2,115,100,1139,180562.0,35.0
0,2,52,58,16,131423.0,32.3
0,2,122,34,3,135323.0,41.4
0,2,1,25,4879,88716.0,34.0
0,2,72,37,86,151258.0,33.3
0,2,109,39,101,250162.0,42.8
0,2,24,22,3140,124447.0,43.4
0,2,81,36,693,67371.0,33.2
0,2,90,38,4555,124082.0,30.9
0,2,112,16,290,114637.0,42.1
0,2,43,87,46,189556.0,34.2
0,2,84,24,2344,66385.0,35.0
0,2,47,65,23,144341.0,35.6
0,2,77,45,527,127627.0,34.2
0,2,101,24,8,93267.0,33.3
0,2,83,64,277,135837.0,30.4
0,2,113,67,3822,239699.0,35.9
0,2,120,59,32,172369.0,35.9
0,2,70,61,241,162030.0,34.3
0,2,69,33,10,88367.0,37.1
0,2,66,29,36,164842.0,27.9
0,2,114,74,3592,172468.0,35.1
0,2,76,11,425,42463.0,36.5
0,2,63,37,42,116657.0,38.6
0,2,45,40,8,122417.0,42.9
0,2,106,43,70,137073.0,38.7
0,2,10,28,10755,77205.0,37.1
0,2,78,25,1280,73881.0,35.4
0,2,6,36,42912,66772.0,36.5
0,2,5,22,5806,44898.0,40.0
0,2,94,20,4409,33351.0,34.7
0,2,40,66,192,98324.0,28.7
0,2,34,60,226,126204.0,36.3
0,2,32,30,368,85872.0,33.7
0,2,50,21,26,58653.0,37.6
0,2,25,32,1042,61031.0,33.4
0,2,100,15,2,28243.0,45.8
0,2,18,35,34178,58237.0,38.1
0,2,20,14,4808,85962.0,41.8
0,2,111,14,4,119917.0,43.8
0,2,107,31,41,93520.0,37.3
0,2,30,31,809,63956.0,34.1
0,2,49,41,20,129501.0,36.0
0,2,88,12,1257,74233.0,34.1
0,2,26,11,1456,65925.0,30.4
0,2,123,18,1,165632.0,41.6
0,2,9,33,19163,43022.0,32.4
0,2,104,50,47,174240.0,37.3
0,2,33,37,453,92476.0,34.6
0,2,62,34,10,189076.0,38.4
0,2,22,1,322,0.0,0.0
0,3,44,64,59,141055.0,31.5
0,3,103,30,36,68981.0,39.3
0,3,28,18,1401,50095.0,34.8
0,3,105,30,9,200852.0,40.1
0,3,13,21,7721,49348.0,34.2
0,3,71,41,151,111325.0,34.3
0,3,7,17,8579,72789.0,41.1
