weekday,pick_hour,sum,lat,long
0,0,5,40.5493,-74.2194
0,0,1,40.5593,-73.9294
0,0,1,40.5593,-73.9094
0,0,2,40.5793,-73.9794
0,0,10,40.5793,-73.9694
0,0,6,40.5793,-73.9594
0,0,7,40.5793,-73.9494
0,0,1,40.5793,-73.9394
0,0,1,40.5893,-73.9894
0,0,2,40.5893,-73.9794
0,0,1,40.5893,-73.9694
0,0,4,40.5893,-73.9494
0,0,1,40.5893,-73.9394
0,0,12,40.5993,-73.9994
0,0,15,40.5993,-73.9894
0,0,4,40.5993,-73.9794
0,0,3,40.5993,-73.9694
0,0,2,40.5993,-73.9494
0,0,1,40.5993,-73.7494
0,0,5,40.6093,-74.1594
0,0,1,40.6093,-74.0894
0,0,4,40.6093,-74.0094
0,0,1,40.6093,-73.9994
0,0,3,40.6093,-73.9894
0,0,4,40.6093,-73.9794
0,0,3,40.6093,-73.9694
0,0,4,40.6093,-73.9594
0,0,1,40.6093,-73.9494
0,0,1,40.6093,-73.9194
0,0,1,40.6093,-73.8994
0,0,16,40.6193,-74.0294
0,0,4,40.6193,-74.0194
0,0,7,40.6193,-73.9994
0,0,5,40.6193,-73.9894
0,0,3,40.6193,-73.9794
0,0,5,40.6193,-73.9694
0,0,3,40.6193,-73.9594
0,0,1,40.6193,-73.9494
0,0,4,40.6193,-73.9394
0,0,6,40.6293,-74.0294
0,0,10,40.6293,-74.0194
0,0,3,40.6293,-74.0094
0,0,1,40.6293,-73.9894
0,0,5,40.6293,-73.9794
0,0,40,40.6293,-73.9694
0,0,11,40.6293,-73.9594
0,0,33,40.6293,-73.9494
0,0,3,40.6293,-73.9394
0,0,6,40.6293,-73.9294
0,0,3,40.6293,-73.8994
0,0,1,40.6393,-74.0794
0,0,2,40.6393,-74.0294
0,0,47,40.6393,-74.0194
0,0,6,40.6393,-74.0094
0,0,7,40.6393,-73.9994
0,0,1,40.6393,-73.9894
0,0,24,40.6393,-73.9794
0,0,92,40.6393,-73.9694
0,0,43,40.6393,-73.9594
0,0,35,40.6393,-73.9494
0,0,6,40.6393,-73.9394
0,0,4,40.6393,-73.9294
0,0,2,40.6393,-73.9194
0,0,1,40.6393,-73.8894
0,0,7,40.6393,-73.7994
0,0,3752,40.6393,-73.7894
0,0,158,40.6393,-73.7794
0,0,2,40.6493,-74.0194
0,0,45,40.6493,-74.0094
0,0,18,40.6493,-73.9994
0,0,35,40.6493,-73.9794
0,0,41,40.6493,-73.9694
0,0,119,40.6493,-73.9594
0,0,14,40.6493,-73.9494
0,0,4,40.6493,-73.9394
0,0,6,40.6493,-73.9294
0,0,1,40.6493,-73.9194
0,0,7,40.6493,-73.8694
0,0,1,40.6493,-73.8394
0,0,84,40.6493,-73.8094
0,0,309,40.6493,-73.7994
0,0,6969,40.6493,-73.7894
0,0,17806,40.6493,-73.7794
0,0,3,40.6593,-74.0094
0,0,76,40.6593,-73.9994
0,0,125,40.6593,-73.9894
0,0,110,40.6593,-73.9794
0,0,1,40.6593,-73.9694
0,0,264,40.6593,-73.9594
0,0,45,40.6593,-73.9494
0,0,11,40.6593,-73.9394
0,0,15,40.6593,-73.9294
0,0,3,40.6593,-73.9194
0,0,5,40.6593,-73.9094
0,0,4,40.6593,-73.8994
0,0,3,40.6593,-73.8894
0,0,1,40.6593,-73.8794
0,0,2,40.6593,-73.8194
0,0,80,40.6593,-73.8094
0,0,51,40.6593,-73.7994
0,0,95,40.6593,-73.7894
0,0,9,40.6593,-73.7794
0,0,2,40.6593,-73.7594
0,0,4,40.6693,-74.0094
0,0,604,40.6693,-73.9894
0,0,358,40.6693,-73.9794
0,0,80,40.6693,-73.9694
0,0,327,40.6693,-73.9594
0,0,161,40.6693,-73.9494
0,0,77,40.6693,-73.9394
0,0,60,40.6693,-73.9294
0,0,15,40.6693,-73.9194
0,0,17,40.6693,-73.9094
0,0,6,40.6693,-73.8994
0,0,7,40.6693,-73.8894
0,0,9,40.6693,-73.8794
0,0,4,40.6693,-73.8694
0,0,5,40.6693,-73.8594
0,0,2,40.6693,-73.8494
0,0,8,40.6693,-73.8394
0,0,1,40.6693,-73.8294
0,0,3,40.6693,-73.8194
0,0,6,40.6693,-73.8094
0,0,126,40.6693,-73.7994
0,0,15,40.6693,-73.7894
0,0,8,40.6693,-73.7794
0,0,2,40.6693,-73.7694
0,0,1,40.6693,-73.7594
0,0,4,40.6693,-73.7494
0,0,6,40.6693,-73.7394
0,0,2,40.6693,-73.7294
0,0,9,40.6793,-74.0194
0,0,73,40.6793,-74.0094
0,0,546,40.6793,-73.9994
0,0,497,40.6793,-73.9894
0,0,1948,40.6793,-73.9794
0,0,949,40.6793,-73.9694
0,0,380,40.6793,-73.9594
0,0,386,40.6793,-73.9494
0,0,135,40.6793,-73.9394
0,0,79,40.6793,-73.9294
0,0,22,40.6793,-73.9194
0,0,43,40.6793,-73.9094
0,0,10,40.6793,-73.8994
0,0,3,40.6793,-73.8894
0,0,4,40.6793,-73.8794
0,0,6,40.6793,-73.8694
0,0,4,40.6793,-73.8594
0,0,4,40.6793,-73.8494
0,0,3,40.6793,-73.8394
0,0,5,40.6793,-73.8294
0,0,2,40.6793,-73.8194
