day,hour,precinct,criminal,traffic,population,age
0,0,44,157,149,141055.0,31.5
0,0,103,75,111,68981.0,39.3
0,0,28,40,2124,50095.0,34.8
0,0,105,78,20,200852.0,40.1
0,0,13,68,40585,49348.0,34.2
0,0,71,101,503,111325.0,34.3
0,0,7,47,4729,72789.0,41.1
0,0,46,96,99,136982.0,29.9
0,0,48,93,10,130442.0,28.9
0,0,19,65,23814,221922.0,39.9
0,0,41,79,29,55492.0,30.3
0,0,14,59,87817,16368.0,33.2
0,0,67,200,42,138643.0,37.8
0,0,17,36,50319,97402.0,38.4
0,0,61,87,28,150931.0,39.9
0,0,102,97,242,154987.0,35.5
0,0,110,68,852,142289.0,35.8
0,0,108,63,4737,139088.0,37.1
0,0,75,219,54,185182.0,33.0
0,0,73,122,116,94149.0,32.3
0,0,60,145,25,109876.0,43.7
0,0,68,43,95,125011.0,39.4
0,0,79,80,689,75318.0,29.1
0,0,23,93,5068,59777.0,34.5
0,0,42,67,33,139743.0,29.4
0,0,115,131,19815,180562.0,35.0
0,0,52,129,35,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,216,151258.0,33.3
0,0,109,111,112,250162.0,42.8
0,0,24,66,9326,124447.0,43.4
0,0,81,72,1165,67371.0,33.2
0,0,90,108,11829,124082.0,30.9
0,0,112,65,489,114637.0,42.1
0,0,43,169,65,189556.0,34.2
0,0,84,66,5699,66385.0,35.0
0,0,47,138,30,144341.0,35.6
0,0,77,82,897,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,737,135837.0,30.4
0,0,113,108,29521,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,344,162030.0,34.3
0,0,69,59,8,88367.0,37.1
0,0,66,58,75,164842.0,27.9
0,0,114,144,5426,172468.0,35.1
0,0,76,29,1221,42463.0,36.5
0,0,63,59,50,116657.0,38.6
0,0,45,67,26,122417.0,42.9
0,0,106,97,69,137073.0,38.7
0,0,10,32,20030,77205.0,37.1
0,0,78,39,3679,73881.0,35.4
0,0,6,52,73599,66772.0,36.5
0,0,5,24,23819,44898.0,40.0
0,0,94,60,4487,33351.0,34.7
0,0,40,134,369,98324.0,28.7
0,0,34,122,790,126204.0,36.3
0,0,32,88,1116,85872.0,33.7
0,0,50,44,73,58653.0,37.6
