weekday,pick_hour,sum,precinct
0,0,5,123.0
0,0,1,61.0
0,0,1,61.0
0,0,1,60.0
0,0,1,60.0
0,0,2,60.0
0,0,1,60.0
0,0,8,60.0
0,0,2,60.0
0,0,4,61.0
0,0,6,61.0
0,0,2,61.0
0,0,1,123.0
0,0,1,123.0
0,0,1,60.0
0,0,1,60.0
0,0,1,60.0
0,0,2,61.0
0,0,2,61.0
0,0,1,61.0
0,0,2,61.0
0,0,4,100.0
0,0,2,62.0
0,0,5,62.0
0,0,14,62.0
0,0,5,60.0
0,0,1,60.0
0,0,1,61.0
0,0,1,100.0
0,0,1,101.0
0,0,1,62.0
0,0,1,62.0
0,0,5,62.0
0,0,1,62.0
0,0,5,60.0
0,0,1,61.0
0,0,5,122.0
0,0,1,122.0
0,0,4,68.0
0,0,2,68.0
0,0,1,62.0
0,0,1,62.0
0,0,1,62.0
0,0,2,62.0
0,0,2,62.0
0,0,1,66.0
0,0,3,61.0
0,0,2,61.0
0,0,1,63.0
0,0,1,69.0
0,0,1,68.0
0,0,5,68.0
0,0,1,62.0
0,0,5,62.0
0,0,1,66.0
0,0,1,70.0
0,0,1,70.0
0,0,1,100.0
0,0,2,100.0
0,0,8,123.0
0,0,3,68.0
0,0,11,68.0
0,0,1,68.0
0,0,6,66.0
0,0,1,66.0
0,0,3,66.0
0,0,2,70.0
0,0,9,70.0
0,0,4,70.0
0,0,1,63.0
0,0,3,63.0
0,0,3,63.0
0,0,2,100.0
0,0,0,101.0
0,0,8,68.0
0,0,6,68.0
0,0,3,68.0
0,0,1,68.0
0,0,1,66.0
0,0,3,66.0
0,0,13,70.0
0,0,26,70.0
0,0,3,70.0
0,0,30,63.0
0,0,3,63.0
0,0,1,63.0
0,0,6,63.0
0,0,3,69.0
0,0,4,101.0
0,0,2,68.0
0,0,1,68.0
0,0,15,68.0
0,0,8,68.0
0,0,3,66.0
0,0,2,66.0
0,0,3,66.0
0,0,2,66.0
0,0,56,70.0
0,0,23,70.0
0,0,29,70.0
0,0,18,70.0
0,0,2,63.0
0,0,2,63.0
0,0,1,67.0
0,0,1,69.0
0,0,1,113.0
0,0,163,113.0
0,0,5,101.0
0,0,1,120.0
0,0,28,72.0
0,0,8,72.0
0,0,3,72.0
0,0,4,72.0
0,0,3,72.0
0,0,4,66.0
0,0,34,66.0
0,0,44,70.0
0,0,19,70.0
0,0,41,70.0
0,0,8,70.0
0,0,7,67.0
0,0,2,67.0
0,0,2,67.0
0,0,105,113.0
0,0,271,113.0
0,0,9563,113.0
0,0,10288,113.0
0,0,4515,113.0
0,0,7,72.0
0,0,56,72.0
0,0,2,72.0
0,0,1,72.0
0,0,17,78.0
0,0,3,78.0
0,0,61,70.0
0,0,65,71.0
0,0,14,71.0
0,0,5,67.0
0,0,4,67.0
0,0,1,67.0
0,0,1,69.0
0,0,7,75.0
0,0,1,106.0
0,0,33,106.0
0,0,101,113.0
0,0,2,113.0
0,0,190,113.0
0,0,3861,113.0
0,0,3,72.0
0,0,46,72.0
0,0,46,72.0
0,0,50,78.0
0,0,58,78.0
0,0,1,78.0
0,0,120,78.0
0,0,67,71.0
0,0,23,71.0
0,0,1,71.0
0,0,7,67.0
0,0,3,67.0
0,0,3,69.0
0,0,3,75.0
0,0,2,106.0
0,0,49,106.0
0,0,31,113.0
0,0,82,113.0
0,0,23,113.0
0,0,8,113.0
0,0,1,113.0
0,0,2,113.0
0,0,17,72.0
0,0,170,78.0
0,0,292,78.0
0,0,83,78.0
0,0,3,78.0
0,0,49,78.0
0,0,45,71.0
0,0,41,71.0
0,0,19,71.0
0,0,23,71.0
0,0,32,71.0
0,0,9,73.0
0,0,8,73.0
0,0,6,73.0
0,0,1,73.0
0,0,10,75.0
0,0,1,75.0
0,0,2,75.0
0,0,2,75.0
0,0,1,106.0
0,0,2,106.0
0,0,1,106.0
0,0,4,106.0
0,0,95,113.0
0,0,16,113.0
0,0,18,113.0
0,0,6,113.0
0,0,3,113.0
0,0,6,105.0
0,0,1,122.0
0,0,1,76.0
0,0,1,76.0
0,0,13,76.0
0,0,1,76.0
0,0,123,76.0
0,0,138,76.0
0,0,448,78.0
0,0,195,78.0
0,0,197,78.0
0,0,146,78.0
0,0,298,77.0
0,0,124,77.0
0,0,57,77.0
0,0,35,77.0
0,0,24,77.0
0,0,7,73.0
0,0,7,73.0
0,0,11,73.0
0,0,1,73.0
0,0,6,75.0
0,0,2,75.0
0,0,7,75.0
0,0,2,75.0
0,0,3,106.0
0,0,2,106.0
0,0,9,106.0
0,0,1,106.0
0,0,1,106.0
0,0,2,106.0
0,0,55,113.0
0,0,1,113.0
0,0,1,113.0
0,0,1,113.0
0,0,5,105.0
0,0,2,105.0
0,0,53,76.0
0,0,38,76.0
0,0,271,76.0
0,0,435,76.0
0,0,317,78.0
0,0,1031,78.0
0,0,576,78.0
0,0,268,88.0
0,0,203,88.0
0,0,217,77.0
0,0,87,77.0
0,0,47,77.0
0,0,50,81.0
0,0,15,81.0
0,0,13,73.0
0,0,29,73.0
0,0,2,73.0
0,0,4,75.0
0,0,3,75.0
0,0,4,75.0
0,0,4,75.0
0,0,3,75.0
0,0,3,106.0
0,0,1,106.0
0,0,5,106.0
0,0,1,106.0
0,0,2,106.0
0,0,3,106.0
0,0,44,113.0
0,0,2,113.0
0,0,1,105.0
0,0,3,120.0
0,0,3,120.0
0,0,14,76.0
0,0,178,76.0
0,0,1292,84.0
0,0,387,84.0
0,0,1559,84.0
0,0,716,88.0
0,0,206,88.0
0,0,412,88.0
0,0,107,79.0
0,0,57,79.0
0,0,59,81.0
0,0,37,81.0
0,0,66,81.0
0,0,71,83.0
0,0,12,83.0
0,0,1,75.0
0,0,2,75.0
0,0,2,106.0
0,0,1,106.0
0,0,1,106.0
0,0,2,106.0
0,0,3,106.0
0,0,40,106.0
0,0,2,103.0
0,0,1,103.0
0,0,16,120.0
0,0,2,120.0
0,0,3,120.0
0,0,4,120.0
0,0,6,76.0
0,0,5,76.0
0,0,1,76.0
0,0,214,84.0
0,0,900,84.0
0,0,919,84.0
0,0,78,84.0
0,0,277,88.0
0,0,234,88.0
0,0,245,88.0
0,0,161,79.0
0,0,75,79.0
0,0,227,81.0
0,0,184,81.0
0,0,53,83.0
0,0,22,83.0
0,0,12,83.0
0,0,2,83.0
0,0,1,102.0
0,0,6,102.0
0,0,8,102.0
0,0,1,102.0
0,0,6,102.0
0,0,4,102.0
0,0,33,103.0
0,0,7,103.0
0,0,1,105.0
0,0,1,1.0
0,0,1,1.0
0,0,1935,1.0
0,0,165,84.0
0,0,8,84.0
0,0,420,84.0
0,0,304,84.0
0,0,15,84.0
0,0,4,88.0
0,0,19,88.0
0,0,122,88.0
0,0,81,90.0
0,0,212,90.0
0,0,387,90.0
0,0,343,83.0
0,0,128,83.0
0,0,75,83.0
0,0,29,83.0
0,0,8,104.0
0,0,3,104.0
0,0,1,104.0
0,0,3,104.0
0,0,3,104.0
0,0,3,102.0
0,0,2,102.0
0,0,7,102.0
0,0,2,102.0
0,0,6,102.0
0,0,106,102.0
0,0,7,103.0
0,0,3,105.0
0,0,2,120.0
0,0,1,120.0
0,0,1,1.0
0,0,295,1.0
0,0,2713,1.0
0,0,3053,5.0
0,0,184,5.0
0,0,17,5.0
0,0,31,7.0
0,0,3,7.0
0,0,34,7.0
0,0,708,88.0
0,0,959,90.0
0,0,676,90.0
0,0,485,90.0
0,0,221,90.0
0,0,169,90.0
0,0,120,83.0
0,0,13,83.0
0,0,6,83.0
0,0,5,104.0
0,0,5,104.0
0,0,1,104.0
0,0,3,104.0
0,0,1,112.0
0,0,1,102.0
0,0,3,102.0
0,0,12,102.0
0,0,29,102.0
0,0,10,107.0
0,0,4,107.0
0,0,14,103.0
0,0,1,103.0
0,0,3,120.0
0,0,2,1.0
0,0,1,1.0
0,0,2,1.0
0,0,2,1.0
0,0,4,1.0
0,0,14,1.0
0,0,29,1.0
0,0,2105,1.0
0,0,2981,1.0
0,0,3190,5.0
0,0,3454,5.0
0,0,800,7.0
0,0,86,7.0
0,0,68,7.0
0,0,1527,7.0
0,0,4113,90.0
0,0,1750,90.0
0,0,929,90.0
0,0,96,90.0
0,0,2,90.0
0,0,4,83.0
0,0,5,83.0
0,0,28,104.0
0,0,13,104.0
0,0,1,104.0
0,0,4,104.0
0,0,4,104.0
0,0,4,104.0
0,0,1,112.0
0,0,2,112.0
0,0,8,112.0
0,0,51,102.0
0,0,17,102.0
0,0,42,107.0
0,0,20,107.0
0,0,6,107.0
0,0,2,107.0
0,0,7,103.0
0,0,1,105.0
0,0,1,1.0
0,0,3,1.0
0,0,2,1.0
0,0,13,1.0
0,0,14,1.0
0,0,15,1.0
0,0,6,1.0
0,0,986,1.0
0,0,6605,1.0
0,0,9081,5.0
0,0,13596,5.0
0,0,11829,9.0
0,0,1435,7.0
0,0,15,7.0
0,0,344,94.0
0,0,1631,94.0
0,0,921,94.0
0,0,230,94.0
0,0,8,94.0
0,0,10,104.0
0,0,12,104.0
0,0,2,104.0
0,0,2,104.0
0,0,1,104.0
0,0,17,112.0
0,0,3,112.0
0,0,10,112.0
0,0,102,112.0
0,0,21,112.0
0,0,9,112.0
0,0,2,112.0
0,0,2,107.0
0,0,5,107.0
0,0,3,107.0
0,0,1,107.0
0,0,1,105.0
0,0,4,1.0
0,0,1,1.0
0,0,9,1.0
0,0,10,1.0
0,0,20,1.0
0,0,2,1.0
0,0,310,1.0
0,0,6166,6.0
0,0,15987,6.0
0,0,13734,9.0
0,0,13733,9.0
0,0,3012,9.0
0,0,93,9.0
0,0,431,94.0
0,0,241,94.0
0,0,58,94.0
0,0,6,94.0
0,0,8,108.0
0,0,3,108.0
0,0,6,108.0
0,0,15,108.0
0,0,7,104.0
0,0,16,104.0
0,0,6,104.0
0,0,13,104.0
0,0,22,110.0
0,0,94,112.0
0,0,65,112.0
0,0,31,112.0
0,0,10,112.0
0,0,21,112.0
0,0,3,112.0
0,0,6,112.0
0,0,1,107.0
0,0,1,107.0
0,0,3,107.0
0,0,1,111.0
0,0,1,105.0
0,0,2,120.0
0,0,2,1.0
0,0,3,1.0
0,0,4,1.0
0,0,1,1.0
0,0,1,1.0
0,0,5,1.0
0,0,7,6.0
0,0,3,6.0
0,0,267,6.0
0,0,11332,6.0
0,0,10511,6.0
0,0,10542,13.0
0,0,8757,13.0
0,0,2401,13.0
0,0,83,13.0
0,0,288,94.0
0,0,74,94.0
0,0,11,94.0
0,0,47,108.0
0,0,43,108.0
0,0,38,108.0
0,0,10,108.0
0,0,15,108.0
0,0,17,108.0
0,0,8,104.0
0,0,35,110.0
0,0,85,110.0
0,0,88,110.0
0,0,19,110.0
0,0,26,110.0
0,0,25,112.0
0,0,16,112.0
0,0,10,112.0
0,0,5,107.0
0,0,2,107.0
0,0,3,107.0
0,0,1,107.0
0,0,1,111.0
0,0,1,111.0
0,0,2,120.0
0,0,1,1.0
0,0,1,6.0
0,0,3,6.0
0,0,15,6.0
0,0,6,6.0
0,0,4,6.0
0,0,12,10.0
0,0,21921,10.0
0,0,8583,10.0
0,0,9859,13.0
0,0,10937,13.0
0,0,8603,13.0
0,0,1250,17.0
0,0,3,17.0
0,0,341,94.0
0,0,358,94.0
0,0,56,94.0
0,0,80,108.0
0,0,243,108.0
0,0,841,108.0
0,0,342,108.0
0,0,169,108.0
0,0,199,108.0
0,0,94,115.0
0,0,123,110.0
0,0,67,110.0
0,0,13,110.0
0,0,11,110.0
0,0,3,110.0
0,0,5,110.0
0,0,23,110.0
0,0,9,112.0
0,0,1,112.0
0,0,15,109.0
0,0,1,107.0
0,0,2,107.0
0,0,2,111.0
0,0,1,111.0
0,0,1,120.0
0,0,2,10.0
0,0,4,10.0
0,0,1,10.0
0,0,6,10.0
0,0,9,10.0
0,0,5,10.0
0,0,61,10.0
0,0,4706,10.0
0,0,3740,10.0
0,0,28511,14.0
0,0,15157,14.0
0,0,10246,14.0
0,0,3874,17.0
0,0,77,17.0
0,0,128,17.0
0,0,261,17.0
0,0,804,108.0
0,0,666,108.0
0,0,194,108.0
0,0,166,108.0
0,0,35,108.0
0,0,110,108.0
0,0,76,114.0
0,0,525,115.0
0,0,277,115.0
0,0,161,110.0
0,0,83,110.0
0,0,38,110.0
0,0,20,110.0
0,0,10,110.0
0,0,1,110.0
0,0,2,109.0
0,0,5,109.0
0,0,6,109.0
0,0,1,107.0
0,0,10,111.0
0,0,3,111.0
0,0,1,111.0
0,0,4,10.0
0,0,7,10.0
0,0,5,10.0
0,0,5,10.0
0,0,255,10.0
0,0,2785,10.0
0,0,19204,14.0
0,0,20659,14.0
0,0,6991,17.0
0,0,10386,17.0
0,0,3706,17.0
0,0,134,17.0
0,0,76,19.0
0,0,195,19.0
0,0,734,108.0
0,0,332,108.0
0,0,648,114.0
0,0,201,114.0
0,0,89,114.0
0,0,84,114.0
0,0,40,115.0
0,0,104,115.0
0,0,135,115.0
0,0,40,115.0
0,0,32,110.0
0,0,6,110.0
0,0,6,110.0
0,0,10,110.0
0,0,1,109.0
0,0,21,109.0
0,0,2,109.0
0,0,2,109.0
0,0,1,109.0
0,0,2,111.0
0,0,1,111.0
0,0,1,111.0
0,0,1,111.0
0,0,2,10.0
0,0,2,10.0
0,0,4,10.0
0,0,3,10.0
0,0,11,10.0
0,0,9,10.0
0,0,2,10.0
0,0,64,10.0
0,0,3233,10.0
0,0,8922,18.0
0,0,17261,18.0
0,0,9815,18.0
0,0,10273,17.0
0,0,6168,17.0
0,0,2751,19.0
0,0,92,19.0
0,0,4,19.0
0,0,112,114.0
0,0,518,114.0
0,0,776,114.0
0,0,608,114.0
0,0,62,114.0
0,0,22,114.0
0,0,52,115.0
0,0,53,115.0
0,0,12,115.0
0,0,30,115.0
0,0,15,115.0
0,0,9,110.0
0,0,1,110.0
0,0,5,109.0
0,0,23,109.0
0,0,7,109.0
0,0,2,109.0
0,0,8,109.0
0,0,2,109.0
0,0,7,111.0
0,0,3,111.0
0,0,1,120.0
0,0,10,10.0
0,0,1,10.0
0,0,5,10.0
0,0,1,10.0
0,0,3,10.0
0,0,54,18.0
0,0,2454,18.0
0,0,8779,18.0
0,0,1461,20.0
0,0,368,22.0
0,0,2240,19.0
0,0,5892,19.0
0,0,1717,19.0
