day,hour,precinct,criminal,traffic,population,age
0,0,44,157,121,141055.0,31.5
0,0,103,75,107,68981.0,39.3
0,0,28,40,2267,50095.0,34.8
0,0,105,78,21,200852.0,40.1
0,0,13,68,28267,49348.0,34.2
0,0,71,101,604,111325.0,34.3
0,0,7,47,2264,72789.0,41.1
0,0,46,96,109,136982.0,29.9
0,0,48,93,12,130442.0,28.9
0,0,19,65,22644,221922.0,39.9
0,0,41,79,29,55492.0,30.3
0,0,14,59,78189,16368.0,33.2
0,0,67,200,25,138643.0,37.8
0,0,17,36,48427,97402.0,38.4
0,0,61,87,29,150931.0,39.9
0,0,102,97,247,154987.0,35.5
0,0,110,68,963,142289.0,35.8
0,0,108,63,5055,139088.0,37.1
0,0,75,219,52,185182.0,33.0
0,0,73,122,106,94149.0,32.3
0,0,60,145,29,109876.0,43.7
0,0,68,43,92,125011.0,39.4
0,0,79,80,1303,75318.0,29.1
0,0,23,93,6050,59777.0,34.5
0,0,42,67,41,139743.0,29.4
0,0,115,131,19529,180562.0,35.0
0,0,52,129,34,131423.0,32.3
0,0,122,79,6,135323.0,41.4
0,0,72,81,173,151258.0,33.3
0,0,109,111,103,250162.0,42.8
0,0,24,66,9773,124447.0,43.4
0,0,81,72,676,67371.0,33.2
0,0,90,108,11843,124082.0,30.9
0,0,112,65,532,114637.0,42.1
0,0,43,169,66,189556.0,34.2
0,0,84,66,5067,66385.0,35.0
0,0,47,138,30,144341.0,35.6
0,0,77,82,603,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,534,135837.0,30.4
0,0,113,108,29457,239699.0,35.9
0,0,120,112,41,172369.0,35.9
0,0,70,90,354,162030.0,34.3
0,0,69,59,9,88367.0,37.1
0,0,66,58,46,164842.0,27.9
0,0,114,144,4808,172468.0,35.1
0,0,76,29,1726,42463.0,36.5
0,0,63,59,65,116657.0,38.6
0,0,45,67,28,122417.0,42.9
0,0,106,97,148,137073.0,38.7
0,0,10,32,36704,77205.0,37.1
0,0,78,39,3959,73881.0,35.4
0,0,6,52,66805,66772.0,36.5
0,0,5,24,25971,44898.0,40.0
0,0,94,60,4822,33351.0,34.7
0,0,40,134,601,98324.0,28.7
0,0,34,122,812,126204.0,36.3
0,0,32,88,830,85872.0,33.7
0,0,50,44,76,58653.0,37.6
0,0,25,89,1205,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,60938,58237.0,38.1
0,0,20,40,20794,85962.0,41.8
0,0,111,63,47,119917.0,43.8
0,0,107,69,123,93520.0,37.3
0,0,30,49,1636,63956.0,34.1
0,0,49,102,42,129501.0,36.0
0,0,88,54,3057,74233.0,34.1
0,0,26,33,3319,65925.0,30.4
0,0,123,50,15,165632.0,41.6
0,0,9,94,46258,43022.0,32.4
0,0,104,95,154,174240.0,37.3
0,0,33,65,978,92476.0,34.6
0,0,62,99,46,189076.0,38.4
0,0,22,4,5686,0.0,0.0
0,0,1,10,1000,88716.0,34.0
0,1,44,101,86,141055.0,31.5
0,1,103,56,68,68981.0,39.3
0,1,28,25,1574,50095.0,34.8
0,1,105,69,10,200852.0,40.1
0,1,13,26,16875,49348.0,34.2
0,1,71,59,517,111325.0,34.3
0,1,7,32,1515,72789.0,41.1
0,1,46,82,96,136982.0,29.9
0,1,48,81,18,130442.0,28.9
0,1,19,48,12463,221922.0,39.9
0,1,41,51,31,55492.0,30.3
0,1,14,63,45136,16368.0,33.2
0,1,67,107,37,138643.0,37.8
0,1,17,13,29559,97402.0,38.4
0,1,61,44,41,150931.0,39.9
0,1,102,73,167,154987.0,35.5
