day,hour,precinct,criminal,traffic,population,age
0,0,44,157,153,141055.0,31.5
0,0,103,75,102,68981.0,39.3
0,0,28,40,2807,50095.0,34.8
0,0,105,78,20,200852.0,40.1
0,0,13,68,51070,49348.0,34.2
0,0,71,101,373,111325.0,34.3
0,0,7,47,14428,72789.0,41.1
0,0,46,96,93,136982.0,29.9
0,0,48,93,20,130442.0,28.9
0,0,19,65,23565,221922.0,39.9
0,0,41,79,30,55492.0,30.3
0,0,14,59,73555,16368.0,33.2
0,0,67,200,33,138643.0,37.8
0,0,17,36,52160,97402.0,38.4
0,0,61,87,27,150931.0,39.9
0,0,102,97,263,154987.0,35.5
0,0,110,68,922,142289.0,35.8
0,0,108,63,4953,139088.0,37.1
0,0,75,219,59,185182.0,33.0
0,0,73,122,104,94149.0,32.3
0,0,60,145,24,109876.0,43.7
0,0,68,43,81,125011.0,39.4
0,0,79,80,599,75318.0,29.1
0,0,23,93,5197,59777.0,34.5
0,0,42,67,36,139743.0,29.4
0,0,115,131,19853,180562.0,35.0
0,0,52,129,45,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,204,151258.0,33.3
0,0,109,111,112,250162.0,42.8
0,0,24,66,11690,124447.0,43.4
0,0,81,72,894,67371.0,33.2
0,0,90,108,10853,124082.0,30.9
0,0,112,65,415,114637.0,42.1
0,0,43,169,68,189556.0,34.2
0,0,84,66,5908,66385.0,35.0
0,0,47,138,30,144341.0,35.6
0,0,77,82,942,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,806,135837.0,30.4
0,0,113,108,29529,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,338,162030.0,34.3
0,0,69,59,9,88367.0,37.1
0,0,66,58,53,164842.0,27.9
0,0,114,144,5403,172468.0,35.1
0,0,76,29,1000,42463.0,36.5
0,0,63,59,59,116657.0,38.6
0,0,45,67,35,122417.0,42.9
0,0,106,97,49,137073.0,38.7
0,0,10,32,28636,77205.0,37.1
0,0,78,39,3955,73881.0,35.4
0,0,6,52,63675,66772.0,36.5
0,0,5,24,22605,44898.0,40.0
0,0,94,60,4931,33351.0,34.7
0,0,40,134,410,98324.0,28.7
