weekday,pick_hour,sum,lat,long
0,0,5,40.5468,-74.2229
0,0,1,40.5608,-73.9079
0,0,1,40.5748,-73.9779
0,0,1,40.5748,-73.9709
0,0,2,40.5748,-73.9639
0,0,1,40.5818,-73.9849
0,0,8,40.5818,-73.9709
0,0,2,40.5818,-73.9639
0,0,4,40.5818,-73.9569
0,0,6,40.5818,-73.9499
0,0,1,40.5888,-73.9919
0,0,1,40.5888,-73.9849
0,0,1,40.5888,-73.9709
0,0,2,40.5888,-73.9569
0,0,2,40.5888,-73.9499
0,0,1,40.5888,-73.9359
0,0,4,40.5888,-73.8169
0,0,5,40.5958,-73.9989
0,0,14,40.5958,-73.9919
0,0,5,40.5958,-73.9849
0,0,1,40.5958,-73.9779
0,0,1,40.5958,-73.9499
0,0,1,40.5958,-73.7539
0,0,1,40.6028,-74.0129
0,0,1,40.6028,-73.9989
0,0,5,40.6028,-73.9919
0,0,1,40.6028,-73.9779
0,0,5,40.6028,-73.9709
0,0,1,40.6028,-73.9499
0,0,5,40.6098,-74.1599
0,0,1,40.6098,-74.0899
0,0,4,40.6098,-74.0339
0,0,2,40.6098,-74.0129
0,0,1,40.6098,-74.0059
0,0,1,40.6098,-73.9989
0,0,1,40.6098,-73.9919
0,0,2,40.6098,-73.9849
0,0,2,40.6098,-73.9779
0,0,1,40.6098,-73.9709
0,0,3,40.6098,-73.9639
0,0,2,40.6098,-73.9569
0,0,1,40.6098,-73.9219
0,0,1,40.6098,-73.8939
0,0,1,40.6168,-74.0339
0,0,5,40.6168,-74.0269
0,0,1,40.6168,-73.9989
0,0,5,40.6168,-73.9919
0,0,1,40.6168,-73.9779
0,0,1,40.6168,-73.9709
0,0,1,40.6168,-73.9569
0,0,1,40.6168,-73.8449
0,0,3,40.6238,-74.0339
0,0,11,40.6238,-74.0269
0,0,1,40.6238,-74.0199
0,0,6,40.6238,-73.9989
0,0,1,40.6238,-73.9849
0,0,3,40.6238,-73.9779
0,0,2,40.6238,-73.9709
0,0,9,40.6238,-73.9639
0,0,4,40.6238,-73.9569
0,0,1,40.6238,-73.9499
0,0,3,40.6238,-73.9429
0,0,3,40.6238,-73.9359
0,0,8,40.6308,-74.0269
0,0,6,40.6308,-74.0199
0,0,3,40.6308,-74.0129
0,0,1,40.6308,-74.0059
0,0,1,40.6308,-73.9849
0,0,3,40.6308,-73.9779
0,0,13,40.6308,-73.9709
0,0,26,40.6308,-73.9639
