day,hour,precinct,criminal,traffic,population,age
0,0,44,157,161,141055.0,31.5
0,0,103,75,108,68981.0,39.3
0,0,28,40,2641,50095.0,34.8
0,0,105,78,21,200852.0,40.1
0,0,13,68,43618,49348.0,34.2
0,0,71,101,450,111325.0,34.3
0,0,7,47,10076,72789.0,41.1
0,0,46,96,96,136982.0,29.9
0,0,48,93,12,130442.0,28.9
0,0,19,65,24893,221922.0,39.9
0,0,41,79,29,55492.0,30.3
0,0,14,59,75754,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,47800,97402.0,38.4
0,0,61,87,29,150931.0,39.9
0,0,102,97,266,154987.0,35.5
0,0,110,68,895,142289.0,35.8
0,0,108,63,5000,139088.0,37.1
0,0,75,219,58,185182.0,33.0
0,0,73,122,105,94149.0,32.3
0,0,60,145,25,109876.0,43.7
0,0,68,43,86,125011.0,39.4
0,0,79,80,833,75318.0,29.1
0,0,23,93,5819,59777.0,34.5
0,0,42,67,27,139743.0,29.4
0,0,115,131,19711,180562.0,35.0
0,0,52,129,34,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,213,151258.0,33.3
0,0,109,111,111,250162.0,42.8
0,0,24,66,10279,124447.0,43.4
0,0,81,72,917,67371.0,33.2
0,0,90,108,10468,124082.0,30.9
0,0,112,65,503,114637.0,42.1
0,0,43,169,64,189556.0,34.2
0,0,84,66,5666,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,932,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,816,135837.0,30.4
0,0,113,108,29533,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,366,162030.0,34.3
0,0,69,59,7,88367.0,37.1
0,0,66,58,57,164842.0,27.9
0,0,114,144,5348,172468.0,35.1
0,0,76,29,1115,42463.0,36.5
0,0,63,59,52,116657.0,38.6
0,0,45,67,33,122417.0,42.9
0,0,106,97,50,137073.0,38.7
0,0,10,32,26566,77205.0,37.1
0,0,78,39,3786,73881.0,35.4
0,0,6,52,66009,66772.0,36.5
0,0,5,24,24581,44898.0,40.0
0,0,94,60,5995,33351.0,34.7
0,0,40,134,371,98324.0,28.7
0,0,34,122,831,126204.0,36.3
0,0,32,88,1128,85872.0,33.7
0,0,50,44,75,58653.0,37.6
0,0,25,89,2047,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,62189,58237.0,38.1
0,0,20,40,16854,85962.0,41.8
0,0,111,63,44,119917.0,43.8
0,0,107,69,120,93520.0,37.3
0,0,30,49,1508,63956.0,34.1
0,0,49,102,44,129501.0,36.0
0,0,88,54,2724,74233.0,34.1
0,0,26,33,3209,65925.0,30.4
0,0,123,50,15,165632.0,41.6
0,0,9,94,40388,43022.0,32.4
0,0,104,95,161,174240.0,37.3
0,0,33,65,1306,92476.0,34.6
0,0,62,99,42,189076.0,38.4
0,0,22,4,3219,0.0,0.0
0,0,1,10,1000,88716.0,34.0
0,1,44,101,89,141055.0,31.5
0,1,103,56,48,68981.0,39.3
0,1,28,25,1785,50095.0,34.8
0,1,105,69,9,200852.0,40.1
0,1,13,26,25352,49348.0,34.2
0,1,71,59,428,111325.0,34.3
0,1,7,32,7042,72789.0,41.1
0,1,46,82,97,136982.0,29.9
0,1,48,81,27,130442.0,28.9
0,1,19,48,12937,221922.0,39.9
0,1,41,51,32,55492.0,30.3
0,1,14,63,42711,16368.0,33.2
0,1,67,107,49,138643.0,37.8
0,1,17,13,28767,97402.0,38.4
0,1,61,44,39,150931.0,39.9
0,1,102,73,188,154987.0,35.5
0,1,110,74,945,142289.0,35.8
0,1,108,46,4213,139088.0,37.1
0,1,75,143,66,185182.0,33.0
0,1,73,72,112,94149.0,32.3
