day,hour,sum,lat,long
0,21,1,40.4988,-74.2499
1,9,1,40.4988,-74.2499
1,12,1,40.4988,-74.2499
2,1,1,40.4988,-74.2499
2,3,1,40.4988,-74.2499
2,10,1,40.4988,-74.2499
2,13,1,40.4988,-74.2499
2,14,1,40.4988,-74.2499
2,15,1,40.4988,-74.2499
2,16,1,40.4988,-74.2499
2,18,1,40.4988,-74.2499
3,15,2,40.4988,-74.2499
4,11,1,40.4988,-74.2499
4,19,1,40.4988,-74.2499
5,12,1,40.4988,-74.2499
5,15,1,40.4988,-74.2499
5,17,2,40.4988,-74.2499
5,18,1,40.4988,-74.2499
5,22,1,40.4988,-74.2499
6,0,1,40.4988,-74.2499
6,2,1,40.4988,-74.2499
6,11,1,40.4988,-74.2499
6,19,1,40.4988,-74.2499
6,20,1,40.4988,-74.2499
6,21,1,40.4988,-74.2499
6,22,1,40.4988,-74.2499
0,0,2,40.4988,-74.2409
0,5,1,40.4988,-74.2409
0,8,1,40.4988,-74.2409
0,10,2,40.4988,-74.2409
0,12,1,40.4988,-74.2409
0,13,1,40.4988,-74.2409
0,15,1,40.4988,-74.2409
0,16,1,40.4988,-74.2409
0,17,1,40.4988,-74.2409
0,18,1,40.4988,-74.2409
0,19,1,40.4988,-74.2409
0,21,1,40.4988,-74.2409
1,0,1,40.4988,-74.2409
1,1,2,40.4988,-74.2409
1,2,1,40.4988,-74.2409
1,4,1,40.4988,-74.2409
1,7,1,40.4988,-74.2409
1,11,1,40.4988,-74.2409
1,12,1,40.4988,-74.2409
1,13,2,40.4988,-74.2409
1,14,1,40.4988,-74.2409
1,16,1,40.4988,-74.2409
1,17,1,40.4988,-74.2409
1,19,1,40.4988,-74.2409
1,20,2,40.4988,-74.2409
2,7,1,40.4988,-74.2409
2,10,1,40.4988,-74.2409
2,11,1,40.4988,-74.2409
2,13,1,40.4988,-74.2409
2,14,2,40.4988,-74.2409
2,17,1,40.4988,-74.2409
2,18,2,40.4988,-74.2409
2,22,1,40.4988,-74.2409
2,23,1,40.4988,-74.2409
3,1,2,40.4988,-74.2409
3,3,1,40.4988,-74.2409
3,8,1,40.4988,-74.2409
3,10,1,40.4988,-74.2409
3,15,1,40.4988,-74.2409
3,16,1,40.4988,-74.2409
3,17,2,40.4988,-74.2409
3,18,5,40.4988,-74.2409
3,19,1,40.4988,-74.2409
3,22,2,40.4988,-74.2409
3,23,2,40.4988,-74.2409
4,1,1,40.4988,-74.2409
