day,hour,precinct,criminal,traffic,population,age
0,0,44,157,174,141055.0,31.5
0,0,103,75,116,68981.0,39.3
0,0,28,40,1688,50095.0,34.8
0,0,105,78,20,200852.0,40.1
0,0,13,68,61824,49348.0,34.2
0,0,71,101,314,111325.0,34.3
0,0,7,47,7787,72789.0,41.1
0,0,46,96,95,136982.0,29.9
0,0,48,93,30,130442.0,28.9
0,0,19,65,20256,221922.0,39.9
0,0,41,79,35,55492.0,30.3
0,0,14,59,47303,16368.0,33.2
0,0,67,200,35,138643.0,37.8
0,0,17,36,40906,97402.0,38.4
0,0,61,87,33,150931.0,39.9
0,0,102,97,218,154987.0,35.5
0,0,110,68,708,142289.0,35.8
0,0,108,63,4577,139088.0,37.1
0,0,75,219,50,185182.0,33.0
0,0,73,122,108,94149.0,32.3
0,0,60,145,19,109876.0,43.7
0,0,68,43,67,125011.0,39.4
0,0,79,80,1173,75318.0,29.1
0,0,23,93,6938,59777.0,34.5
0,0,42,67,31,139743.0,29.4
0,0,115,131,19789,180562.0,35.0
0,0,52,129,42,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,210,151258.0,33.3
0,0,109,111,113,250162.0,42.8
0,0,24,66,7820,124447.0,43.4
0,0,81,72,1061,67371.0,33.2
0,0,90,108,11744,124082.0,30.9
0,0,112,65,554,114637.0,42.1
0,0,43,169,61,189556.0,34.2
0,0,84,66,5697,66385.0,35.0
0,0,47,138,30,144341.0,35.6
0,0,77,82,1197,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,738,135837.0,30.4
0,0,113,108,29458,239699.0,35.9
0,0,120,112,46,172369.0,35.9
0,0,70,90,431,162030.0,34.3
0,0,69,59,9,88367.0,37.1
0,0,66,58,43,164842.0,27.9
0,0,114,144,6050,172468.0,35.1
0,0,76,29,1077,42463.0,36.5
0,0,63,59,42,116657.0,38.6
0,0,45,67,27,122417.0,42.9
0,0,106,97,147,137073.0,38.7
0,0,10,32,28634,77205.0,37.1
0,0,78,39,3584,73881.0,35.4
0,0,6,52,72072,66772.0,36.5
0,0,5,24,27531,44898.0,40.0
0,0,94,60,4353,33351.0,34.7
0,0,40,134,493,98324.0,28.7
0,0,34,122,739,126204.0,36.3
0,0,32,88,1201,85872.0,33.7
0,0,50,44,74,58653.0,37.6
0,0,25,89,2087,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,83739,58237.0,38.1
0,0,20,40,14985,85962.0,41.8
0,0,111,63,48,119917.0,43.8
0,0,107,69,120,93520.0,37.3
0,0,30,49,1876,63956.0,34.1
0,0,49,102,36,129501.0,36.0
0,0,88,54,2728,74233.0,34.1
0,0,26,33,4475,65925.0,30.4
0,0,123,50,15,165632.0,41.6
0,0,9,94,32603,43022.0,32.4
0,0,104,95,145,174240.0,37.3
0,0,33,65,1076,92476.0,34.6
0,0,62,99,49,189076.0,38.4
0,0,22,4,7207,0.0,0.0
0,0,1,10,1000,88716.0,34.0
0,1,44,101,141,141055.0,31.5
0,1,103,56,62,68981.0,39.3
0,1,28,25,1069,50095.0,34.8
0,1,105,69,12,200852.0,40.1
0,1,13,26,37174,49348.0,34.2
0,1,71,59,320,111325.0,34.3
0,1,7,32,5082,72789.0,41.1
0,1,46,82,108,136982.0,29.9
0,1,48,81,33,130442.0,28.9
0,1,19,48,11158,221922.0,39.9
0,1,41,51,33,55492.0,30.3
0,1,14,63,26049,16368.0,33.2
0,1,67,107,58,138643.0,37.8
0,1,17,13,24687,97402.0,38.4
0,1,61,44,40,150931.0,39.9
0,1,102,73,149,154987.0,35.5
0,1,110,74,717,142289.0,35.8
0,1,108,46,3829,139088.0,37.1
0,1,75,143,57,185182.0,33.0
0,1,73,72,109,94149.0,32.3
0,1,60,57,5,109876.0,43.7
0,1,68,27,65,125011.0,39.4
