weekday,pick_hour,sum,lat,long
0,0,5,40.5438,-74.2229
0,0,1,40.5618,-73.9079
0,0,2,40.5798,-73.9799
0,0,8,40.5798,-73.9709
0,0,6,40.5798,-73.9619
0,0,8,40.5798,-73.9529
0,0,1,40.5798,-73.9349
0,0,1,40.5888,-73.9889
0,0,2,40.5888,-73.9799
0,0,1,40.5888,-73.9709
0,0,4,40.5888,-73.9529
0,0,4,40.5888,-73.9349
0,0,12,40.5978,-73.9979
0,0,13,40.5978,-73.9889
0,0,4,40.5978,-73.9799
0,0,2,40.5978,-73.9529
0,0,1,40.5978,-73.7549
0,0,1,40.6068,-74.0879
0,0,1,40.6068,-74.0159
0,0,1,40.6068,-74.0069
0,0,1,40.6068,-73.9979
0,0,2,40.6068,-73.9889
0,0,2,40.6068,-73.9799
0,0,7,40.6068,-73.9709
0,0,4,40.6068,-73.9619
0,0,1,40.6068,-73.9529
0,0,1,40.6068,-73.9259
0,0,5,40.6158,-74.1599
0,0,1,40.6158,-74.0339
0,0,5,40.6158,-74.0249
0,0,2,40.6158,-74.0069
0,0,1,40.6158,-73.9979
0,0,6,40.6158,-73.9889
0,0,2,40.6158,-73.9799
0,0,1,40.6158,-73.9709
0,0,1,40.6158,-73.9619
0,0,1,40.6158,-73.8989
0,0,1,40.6158,-73.8449
0,0,3,40.6248,-74.0339
0,0,14,40.6248,-74.0249
0,0,6,40.6248,-73.9979
0,0,1,40.6248,-73.9889
0,0,3,40.6248,-73.9799
0,0,4,40.6248,-73.9709
0,0,22,40.6248,-73.9619
0,0,4,40.6248,-73.9529
0,0,10,40.6248,-73.9439
0,0,4,40.6248,-73.9349
0,0,1,40.6248,-73.9079
0,0,3,40.6338,-74.0339
0,0,15,40.6338,-74.0249
0,0,9,40.6338,-74.0159
0,0,3,40.6338,-74.0069
0,0,3,40.6338,-73.9979
0,0,6,40.6338,-73.9799
0,0,41,40.6338,-73.9709
0,0,20,40.6338,-73.9619
0,0,20,40.6338,-73.9529
0,0,26,40.6338,-73.9439
0,0,2,40.6338,-73.9349
0,0,6,40.6338,-73.9259
0,0,1,40.6338,-73.9169
0,0,2,40.6338,-73.8989
0,0,1,40.6338,-73.8809
0,0,1,40.6428,-74.0789
0,0,1,40.6428,-74.0339
0,0,8,40.6428,-74.0249
0,0,35,40.6428,-74.0159
0,0,4,40.6428,-74.0069
0,0,7,40.6428,-73.9979
0,0,1,40.6428,-73.9889
0,0,21,40.6428,-73.9799
0,0,93,40.6428,-73.9709
0,0,58,40.6428,-73.9619
0,0,31,40.6428,-73.9529
0,0,7,40.6428,-73.9439
0,0,4,40.6428,-73.9259
0,0,210,40.6428,-73.7999
0,0,8726,40.6428,-73.7909
0,0,10616,40.6428,-73.7819
0,0,4377,40.6428,-73.7729
0,0,2,40.6518,-74.0159
0,0,65,40.6518,-74.0069
0,0,10,40.6518,-73.9979
0,0,25,40.6518,-73.9799
0,0,21,40.6518,-73.9709
0,0,136,40.6518,-73.9619
0,0,42,40.6518,-73.9529
0,0,7,40.6518,-73.9439
0,0,6,40.6518,-73.9349
0,0,4,40.6518,-73.9259
0,0,1,40.6518,-73.9079
0,0,7,40.6518,-73.8629
0,0,1,40.6518,-73.8359
0,0,106,40.6518,-73.8089
0,0,71,40.6518,-73.7999
0,0,907,40.6518,-73.7909
0,0,4113,40.6518,-73.7819
0,0,2,40.6608,-74.0069
0,0,85,40.6608,-73.9979
0,0,148,40.6608,-73.9889
0,0,145,40.6608,-73.9799
0,0,3,40.6608,-73.9709
0,0,187,40.6608,-73.9619
0,0,45,40.6608,-73.9529
0,0,9,40.6608,-73.9439
0,0,24,40.6608,-73.9349
0,0,8,40.6608,-73.9259
0,0,7,40.6608,-73.9079
0,0,2,40.6608,-73.8989
0,0,8,40.6608,-73.8899
0,0,1,40.6608,-73.8809
0,0,1,40.6608,-73.8629
0,0,2,40.6608,-73.8449
0,0,2,40.6608,-73.8269
0,0,58,40.6608,-73.8089
0,0,42,40.6608,-73.7999
0,0,100,40.6608,-73.7909
0,0,6,40.6608,-73.7819
0,0,1,40.6608,-73.7729
0,0,2,40.6608,-73.7549
0,0,58,40.6698,-73.9979
0,0,535,40.6698,-73.9889
0,0,312,40.6698,-73.9799
0,0,73,40.6698,-73.9709
0,0,237,40.6698,-73.9619
0,0,210,40.6698,-73.9529
0,0,83,40.6698,-73.9439
0,0,84,40.6698,-73.9349
0,0,13,40.6698,-73.9259
0,0,16,40.6698,-73.9169
0,0,7,40.6698,-73.9079
0,0,6,40.6698,-73.8989
0,0,2,40.6698,-73.8899
0,0,2,40.6698,-73.8809
0,0,8,40.6698,-73.8719
0,0,5,40.6698,-73.8629
0,0,3,40.6698,-73.8539
0,0,8,40.6698,-73.8449
0,0,2,40.6698,-73.8359
0,0,3,40.6698,-73.8179
0,0,6,40.6698,-73.8089
0,0,116,40.6698,-73.7999
0,0,12,40.6698,-73.7909
0,0,8,40.6698,-73.7819
0,0,1,40.6698,-73.7729
0,0,2,40.6698,-73.7639
0,0,4,40.6698,-73.7459
0,0,6,40.6698,-73.7369
0,0,33,40.6788,-74.0159
0,0,69,40.6788,-74.0069
0,0,642,40.6788,-73.9979
0,0,230,40.6788,-73.9889
0,0,1351,40.6788,-73.9799
0,0,971,40.6788,-73.9709
0,0,374,40.6788,-73.9619
0,0,375,40.6788,-73.9529
0,0,139,40.6788,-73.9439
0,0,69,40.6788,-73.9349
0,0,52,40.6788,-73.9259
0,0,10,40.6788,-73.9169
0,0,39,40.6788,-73.9079
0,0,10,40.6788,-73.8989
0,0,1,40.6788,-73.8899
0,0,6,40.6788,-73.8809
0,0,4,40.6788,-73.8719
0,0,4,40.6788,-73.8629
0,0,6,40.6788,-73.8449
0,0,5,40.6788,-73.8269
0,0,3,40.6788,-73.8179
0,0,21,40.6788,-73.8089
