weekday,pick_hour,sum,lat,long
0,0,5,40.549292,-74.21938
0,0,1,40.559292,-73.92938000000001
0,0,1,40.559292,-73.90938
0,0,2,40.579291999999995,-73.97937999999998
0,0,10,40.579291999999995,-73.96938
0,0,6,40.579291999999995,-73.95938000000001
0,0,7,40.579291999999995,-73.94937999999998
0,0,1,40.579291999999995,-73.93938
0,0,1,40.589292,-74.23938000000001
0,0,1,40.589292,-74.22937999999998
0,0,1,40.589292,-73.98938000000001
0,0,2,40.589292,-73.97937999999998
0,0,1,40.589292,-73.96938
0,0,4,40.589292,-73.94937999999998
0,0,1,40.589292,-73.93938
0,0,3,40.589292,-73.92938000000001
0,0,5,40.589292,-73.81938000000001
0,0,12,40.599292,-73.99938
0,0,15,40.599292,-73.98938000000001
0,0,4,40.599292,-73.97937999999998
0,0,3,40.599292,-73.96938
0,0,2,40.599292,-73.94937999999998
0,0,1,40.599292,-73.74938
0,0,5,40.609291999999996,-74.15938
0,0,1,40.609291999999996,-74.08937999999998
0,0,4,40.609291999999996,-74.03938000000001
0,0,4,40.609291999999996,-74.00938000000001
0,0,1,40.609291999999996,-73.99938
0,0,3,40.609291999999996,-73.98938000000001
0,0,4,40.609291999999996,-73.97937999999998
0,0,3,40.609291999999996,-73.96938
0,0,4,40.609291999999996,-73.95938000000001
0,0,1,40.609291999999996,-73.94937999999998
0,0,1,40.609291999999996,-73.91938
0,0,1,40.609291999999996,-73.89938000000001
0,0,16,40.619292,-74.02938
0,0,4,40.619292,-74.01938
0,0,7,40.619292,-73.99938
0,0,5,40.619292,-73.98938000000001
0,0,3,40.619292,-73.97937999999998
0,0,5,40.619292,-73.96938
0,0,3,40.619292,-73.95938000000001
0,0,1,40.619292,-73.94937999999998
0,0,4,40.619292,-73.93938
0,0,1,40.619292,-73.83937999999998
0,0,2,40.619292,-73.80938
0,0,8,40.629292,-74.23938000000001
0,0,6,40.629292,-74.02938
0,0,10,40.629292,-74.01938
0,0,3,40.629292,-74.00938000000001
0,0,1,40.629292,-73.98938000000001
0,0,5,40.629292,-73.97937999999998
0,0,40,40.629292,-73.96938
0,0,11,40.629292,-73.95938000000001
0,0,33,40.629292,-73.94937999999998
0,0,3,40.629292,-73.93938
0,0,6,40.629292,-73.92938000000001
0,0,3,40.629292,-73.89938000000001
0,0,2,40.629292,-73.80938
0,0,4,40.629292,-73.73938000000001
0,0,0,40.629292,-73.70938000000001
0,0,1,40.63929200000001,-74.07938
0,0,1,40.63929200000001,-74.03938000000001
0,0,2,40.63929200000001,-74.02938
0,0,47,40.63929200000001,-74.01938
0,0,6,40.63929200000001,-74.00938000000001
0,0,7,40.63929200000001,-73.99938
0,0,1,40.63929200000001,-73.98938000000001
