day,hour,precinct,criminal,traffic,population,age
0,0,44,157,154,141055.0,31.5
0,0,103,75,99,68981.0,39.3
0,0,28,40,2361,50095.0,34.8
0,0,105,78,21,200852.0,40.1
0,0,13,68,41676,49348.0,34.2
0,0,71,101,473,111325.0,34.3
0,0,7,47,14102,72789.0,41.1
0,0,46,96,100,136982.0,29.9
0,0,48,93,20,130442.0,28.9
0,0,19,65,25313,221922.0,39.9
0,0,41,79,28,55492.0,30.3
0,0,14,59,74199,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,48035,97402.0,38.4
0,0,61,87,29,150931.0,39.9
0,0,102,97,271,154987.0,35.5
0,0,110,68,878,142289.0,35.8
0,0,108,63,4784,139088.0,37.1
0,0,75,219,65,185182.0,33.0
0,0,73,122,101,94149.0,32.3
0,0,60,145,23,109876.0,43.7
0,0,68,43,87,125011.0,39.4
0,0,79,80,705,75318.0,29.1
0,0,23,93,5589,59777.0,34.5
0,0,42,67,30,139743.0,29.4
0,0,115,131,19778,180562.0,35.0
0,0,52,129,38,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,212,151258.0,33.3
0,0,109,111,111,250162.0,42.8
0,0,24,66,9917,124447.0,43.4
0,0,81,72,871,67371.0,33.2
0,0,90,108,9452,124082.0,30.9
0,0,112,65,510,114637.0,42.1
0,0,43,169,60,189556.0,34.2
0,0,84,66,6025,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,925,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,753,135837.0,30.4
0,0,113,108,29526,239699.0,35.9
0,0,120,112,44,172369.0,35.9
0,0,70,90,353,162030.0,34.3
0,0,69,59,7,88367.0,37.1
0,0,66,58,50,164842.0,27.9
0,0,114,144,5137,172468.0,35.1
0,0,76,29,1126,42463.0,36.5
0,0,63,59,53,116657.0,38.6
0,0,45,67,28,122417.0,42.9
0,0,106,97,63,137073.0,38.7
0,0,10,32,32457,77205.0,37.1
0,0,78,39,3480,73881.0,35.4
0,0,6,52,69189,66772.0,36.5
0,0,5,24,22652,44898.0,40.0
0,0,94,60,6805,33351.0,34.7
0,0,40,134,375,98324.0,28.7
0,0,34,122,816,126204.0,36.3
0,0,32,88,1048,85872.0,33.7
0,0,50,44,70,58653.0,37.6
0,0,25,89,2312,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,58598,58237.0,38.1
0,0,20,40,17443,85962.0,41.8
0,0,111,63,44,119917.0,43.8
0,0,107,69,117,93520.0,37.3
0,0,30,49,1367,63956.0,34.1
0,0,49,102,45,129501.0,36.0
0,0,88,54,2913,74233.0,34.1
0,0,26,33,3600,65925.0,30.4
0,0,123,50,15,165632.0,41.6
0,0,9,94,35208,43022.0,32.4
0,0,104,95,161,174240.0,37.3
0,0,33,65,1325,92476.0,34.6
0,0,62,99,43,189076.0,38.4
0,0,22,4,3961,0.0,0.0
0,0,1,10,1000,88716.0,34.0
0,1,44,101,95,141055.0,31.5
0,1,103,56,53,68981.0,39.3
0,1,28,25,1608,50095.0,34.8
0,1,105,69,9,200852.0,40.1
0,1,13,26,23817,49348.0,34.2
0,1,71,59,444,111325.0,34.3
0,1,7,32,9833,72789.0,41.1
0,1,46,82,108,136982.0,29.9
0,1,48,81,19,130442.0,28.9
0,1,19,48,13252,221922.0,39.9
0,1,41,51,28,55492.0,30.3
0,1,14,63,42124,16368.0,33.2
0,1,67,107,44,138643.0,37.8
0,1,17,13,29250,97402.0,38.4
0,1,61,44,39,150931.0,39.9
0,1,102,73,184,154987.0,35.5
0,1,110,74,942,142289.0,35.8
0,1,108,46,4057,139088.0,37.1
0,1,75,143,66,185182.0,33.0
0,1,73,72,109,94149.0,32.3
0,1,60,57,7,109876.0,43.7
0,1,68,27,79,125011.0,39.4
0,1,79,48,575,75318.0,29.1
0,1,23,58,3221,59777.0,34.5
