day,hour,precinct,criminal,traffic,population,age
0,0,44,157,163,141055.0,31.5
0,0,103,75,118,68981.0,39.3
0,0,28,40,2799,50095.0,34.8
0,0,105,78,20,200852.0,40.1
0,0,13,68,41450,49348.0,34.2
0,0,71,101,453,111325.0,34.3
0,0,7,47,9707,72789.0,41.1
0,0,46,96,88,136982.0,29.9
0,0,48,93,18,130442.0,28.9
0,0,19,65,24410,221922.0,39.9
0,0,41,79,28,55492.0,30.3
0,0,14,59,80207,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,47921,97402.0,38.4
0,0,61,87,28,150931.0,39.9
0,0,102,97,262,154987.0,35.5
0,0,110,68,923,142289.0,35.8
0,0,108,63,4972,139088.0,37.1
0,0,75,219,58,185182.0,33.0
0,0,73,122,103,94149.0,32.3
0,0,60,145,25,109876.0,43.7
0,0,68,43,94,125011.0,39.4
0,0,79,80,738,75318.0,29.1
0,0,23,93,5915,59777.0,34.5
0,0,42,67,27,139743.0,29.4
0,0,115,131,19655,180562.0,35.0
0,0,52,129,35,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,191,151258.0,33.3
0,0,109,111,112,250162.0,42.8
0,0,24,66,10492,124447.0,43.4
0,0,81,72,867,67371.0,33.2
0,0,90,108,11461,124082.0,30.9
0,0,112,65,505,114637.0,42.1
0,0,43,169,65,189556.0,34.2
0,0,84,66,5535,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,877,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,771,135837.0,30.4
0,0,113,108,29530,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,354,162030.0,34.3
0,0,69,59,8,88367.0,37.1
0,0,66,58,56,164842.0,27.9
0,0,114,144,5390,172468.0,35.1
0,0,76,29,1163,42463.0,36.5
0,0,63,59,53,116657.0,38.6
0,0,45,67,28,122417.0,42.9
0,0,106,97,50,137073.0,38.7
0,0,10,32,28162,77205.0,37.1
0,0,78,39,3924,73881.0,35.4
0,0,6,52,63893,66772.0,36.5
0,0,5,24,24252,44898.0,40.0
0,0,94,60,5046,33351.0,34.7
0,0,40,134,362,98324.0,28.7
0,0,34,122,808,126204.0,36.3
0,0,32,88,1070,85872.0,33.7
0,0,50,44,75,58653.0,37.6
0,0,25,89,2115,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,59157,58237.0,38.1
0,0,20,40,16363,85962.0,41.8
0,0,111,63,45,119917.0,43.8
0,0,107,69,121,93520.0,37.3
0,0,30,49,1555,63956.0,34.1
0,0,49,102,49,129501.0,36.0
0,0,88,54,2865,74233.0,34.1
0,0,26,33,3463,65925.0,30.4
0,0,123,50,15,165632.0,41.6
0,0,9,94,42384,43022.0,32.4
0,0,104,95,168,174240.0,37.3
0,0,33,65,1252,92476.0,34.6
0,0,62,99,42,189076.0,38.4
0,0,22,4,3621,0.0,0.0
0,0,1,10,1000,88716.0,34.0
0,1,44,101,91,141055.0,31.5
0,1,103,56,49,68981.0,39.3
0,1,28,25,1847,50095.0,34.8
0,1,105,69,9,200852.0,40.1
0,1,13,26,23915,49348.0,34.2
0,1,71,59,420,111325.0,34.3
0,1,7,32,6810,72789.0,41.1
0,1,46,82,98,136982.0,29.9
0,1,48,81,21,130442.0,28.9
0,1,19,48,12708,221922.0,39.9
0,1,41,51,32,55492.0,30.3
0,1,14,63,45367,16368.0,33.2
