day,hour,precinct,criminal,traffic,population,age
0,0,44,157,152,141055.0,31.5
0,0,103,75,72,68981.0,39.3
0,0,28,40,2052,50095.0,34.8
0,0,105,78,21,200852.0,40.1
0,0,13,68,51182,49348.0,34.2
0,0,71,101,330,111325.0,34.3
0,0,7,47,3999,72789.0,41.1
0,0,46,96,86,136982.0,29.9
0,0,48,93,27,130442.0,28.9
0,0,19,65,22399,221922.0,39.9
0,0,41,79,31,55492.0,30.3
0,0,14,59,93777,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,43251,97402.0,38.4
0,0,61,87,28,150931.0,39.9
0,0,102,97,265,154987.0,35.5
0,0,110,68,897,142289.0,35.8
0,0,108,63,5117,139088.0,37.1
0,0,75,219,63,185182.0,33.0
0,0,73,122,94,94149.0,32.3
0,0,60,145,29,109876.0,43.7
0,0,68,43,71,125011.0,39.4
0,0,79,80,400,75318.0,29.1
0,0,23,93,5617,59777.0,34.5
0,0,42,67,32,139743.0,29.4
0,0,115,131,19857,180562.0,35.0
0,0,52,129,40,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,224,151258.0,33.3
0,0,109,111,112,250162.0,42.8
0,0,24,66,9139,124447.0,43.4
0,0,81,72,638,67371.0,33.2
0,0,90,108,10080,124082.0,30.9
0,0,112,65,467,114637.0,42.1
0,0,43,169,61,189556.0,34.2
0,0,84,66,6261,66385.0,35.0
0,0,47,138,30,144341.0,35.6
0,0,77,82,889,127627.0,34.2
0,0,101,56,10,93267.0,33.3
0,0,83,102,895,135837.0,30.4
0,0,113,108,29449,239699.0,35.9
0,0,120,112,44,172369.0,35.9
0,0,70,90,358,162030.0,34.3
0,0,69,59,9,88367.0,37.1
0,0,66,58,64,164842.0,27.9
0,0,114,144,4999,172468.0,35.1
0,0,76,29,1278,42463.0,36.5
0,0,63,59,52,116657.0,38.6
0,0,45,67,33,122417.0,42.9
0,0,106,97,175,137073.0,38.7
0,0,10,32,45523,77205.0,37.1
0,0,78,39,3756,73881.0,35.4
0,0,6,52,44302,66772.0,36.5
0,0,5,24,32575,44898.0,40.0
0,0,94,60,4998,33351.0,34.7
0,0,40,134,531,98324.0,28.7
0,0,34,122,837,126204.0,36.3
0,0,32,88,1102,85872.0,33.7
0,0,50,44,75,58653.0,37.6
0,0,25,89,2247,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,47285,58237.0,38.1
0,0,20,40,15269,85962.0,41.8
0,0,111,63,45,119917.0,43.8
0,0,107,69,115,93520.0,37.3
0,0,30,49,1206,63956.0,34.1
0,0,49,102,39,129501.0,36.0
0,0,88,54,3414,74233.0,34.1
