weekday,pick_hour,sum,precinct
0,0,5,123.0
0,0,1,61.0
0,0,1,61.0
0,0,1,60.0
0,0,1,60.0
0,0,1,60.0
0,0,2,60.0
0,0,1,60.0
0,0,1,60.0
0,0,7,60.0
0,0,3,61.0
0,0,1,61.0
0,0,2,61.0
0,0,5,61.0
0,0,1,61.0
0,0,1,123.0
0,0,1,60.0
0,0,4,61.0
0,0,1,61.0
0,0,3,61.0
0,0,4,100.0
0,0,1,123.0
0,0,1,60.0
0,0,1,60.0
0,0,1,60.0
0,0,1,100.0
0,0,2,62.0
0,0,5,62.0
0,0,3,62.0
0,0,12,62.0
0,0,4,60.0
0,0,1,61.0
0,0,1,101.0
0,0,1,62.0
0,0,4,62.0
0,0,3,60.0
0,0,1,61.0
0,0,1,122.0
0,0,1,62.0
0,0,1,62.0
0,0,2,62.0
0,0,4,62.0
0,0,3,61.0
0,0,5,122.0
0,0,4,68.0
0,0,2,68.0
0,0,1,62.0
0,0,1,62.0
0,0,3,62.0
0,0,1,70.0
0,0,1,61.0
0,0,1,63.0
0,0,1,69.0
0,0,1,68.0
0,0,2,68.0
0,0,1,62.0
0,0,1,62.0
0,0,1,66.0
0,0,1,70.0
0,0,1,100.0
0,0,2,100.0
0,0,3,68.0
0,0,10,68.0
0,0,4,68.0
0,0,6,66.0
0,0,4,66.0
0,0,3,66.0
0,0,2,70.0
0,0,2,70.0
0,0,1,70.0
0,0,1,70.0
0,0,1,63.0
0,0,2,63.0
0,0,2,63.0
0,0,8,123.0
0,0,3,68.0
0,0,1,66.0
0,0,1,66.0
0,0,2,66.0
0,0,13,70.0
0,0,4,70.0
0,0,4,70.0
0,0,7,63.0
0,0,1,63.0
0,0,2,63.0
0,0,1,69.0
0,0,2,100.0
0,0,0,101.0
0,0,2,68.0
0,0,1,68.0
0,0,4,68.0
0,0,6,68.0
0,0,2,68.0
0,0,1,68.0
0,0,2,66.0
0,0,7,70.0
0,0,20,70.0
0,0,2,70.0
0,0,1,70.0
0,0,2,70.0
0,0,24,63.0
0,0,6,63.0
0,0,2,69.0
0,0,1,101.0
0,0,3,101.0
0,0,1,68.0
0,0,1,68.0
0,0,1,68.0
0,0,12,68.0
0,0,2,68.0
0,0,3,66.0
0,0,2,66.0
0,0,2,66.0
0,0,9,70.0
0,0,23,70.0
0,0,2,70.0
0,0,9,70.0
0,0,21,70.0
0,0,3,63.0
0,0,2,67.0
0,0,1,67.0
0,0,1,69.0
0,0,1,113.0
0,0,1,120.0
0,0,12,68.0
0,0,21,68.0
0,0,6,72.0
0,0,4,72.0
0,0,1,66.0
0,0,10,66.0
0,0,10,66.0
0,0,26,70.0
0,0,34,70.0
0,0,7,70.0
0,0,25,70.0
0,0,10,70.0
0,0,1,63.0
0,0,6,67.0
0,0,2,67.0
0,0,1,67.0
0,0,6,113.0
0,0,1612,113.0
0,0,2140,113.0
0,0,161,113.0
0,0,2,72.0
0,0,6,72.0
0,0,4,72.0
0,0,3,72.0
0,0,3,72.0
0,0,12,66.0
0,0,15,66.0
0,0,28,70.0
0,0,8,70.0
0,0,21,70.0
0,0,27,70.0
0,0,2,67.0
0,0,1,67.0
0,0,130,113.0
0,0,163,113.0
0,0,4232,113.0
0,0,2632,113.0
0,0,13084,113.0
0,0,4717,113.0
0,0,4,72.0
0,0,31,72.0
0,0,12,72.0
0,0,2,78.0
0,0,5,78.0
0,0,2,78.0
0,0,4,70.0
0,0,29,70.0
0,0,42,71.0
0,0,6,71.0
0,0,6,71.0
0,0,4,67.0
0,0,5,67.0
0,0,1,67.0
0,0,7,75.0
0,0,1,106.0
0,0,84,113.0
0,0,14,113.0
0,0,2,113.0
0,0,2,113.0
0,0,102,113.0
0,0,3,113.0
0,0,1,72.0
0,0,2,72.0
0,0,32,72.0
0,0,2,72.0
0,0,6,72.0
0,0,8,78.0
0,0,5,78.0
0,0,1,78.0
0,0,107,71.0
0,0,18,71.0
0,0,18,71.0
0,0,4,67.0
0,0,1,67.0
0,0,2,67.0
0,0,1,69.0
0,0,1,69.0
0,0,1,69.0
0,0,55,113.0
0,0,1,113.0
0,0,18,113.0
0,0,72,113.0
0,0,1,113.0
0,0,2,113.0
0,0,1,113.0
0,0,1,72.0
0,0,41,72.0
0,0,56,72.0
0,0,63,78.0
0,0,78,78.0
0,0,20,78.0
0,0,127,71.0
0,0,12,71.0
0,0,21,71.0
0,0,6,71.0
0,0,3,71.0
0,0,8,71.0
0,0,9,67.0
0,0,1,67.0
0,0,1,73.0
0,0,4,73.0
0,0,3,73.0
0,0,2,75.0
0,0,1,75.0
0,0,2,106.0
0,0,2,106.0
0,0,25,113.0
0,0,31,113.0
0,0,1,113.0
0,0,20,113.0
0,0,2,113.0
0,0,6,113.0
0,0,2,113.0
0,0,9,76.0
0,0,115,78.0
0,0,161,78.0
0,0,147,78.0
0,0,33,78.0
0,0,3,78.0
0,0,2,78.0
0,0,18,71.0
0,0,18,71.0
0,0,35,71.0
0,0,6,71.0
0,0,13,71.0
0,0,13,71.0
0,0,26,71.0
0,0,4,73.0
0,0,6,73.0
0,0,8,73.0
0,0,2,73.0
0,0,5,73.0
0,0,5,75.0
0,0,2,75.0
0,0,2,75.0
0,0,1,106.0
0,0,1,106.0
0,0,1,106.0
0,0,5,113.0
0,0,72,113.0
0,0,12,113.0
0,0,12,113.0
0,0,3,113.0
0,0,6,113.0
0,0,2,113.0
0,0,1,113.0
0,0,6,105.0
0,0,1,122.0
0,0,1,76.0
0,0,4,76.0
0,0,1,76.0
0,0,30,76.0
0,0,62,76.0
0,0,267,78.0
0,0,134,78.0
0,0,43,78.0
0,0,32,78.0
0,0,43,78.0
0,0,94,77.0
0,0,197,77.0
0,0,76,77.0
0,0,44,77.0
0,0,29,77.0
0,0,22,77.0
0,0,29,77.0
0,0,1,73.0
0,0,3,73.0
0,0,6,73.0
0,0,7,73.0
0,0,1,73.0
0,0,2,75.0
0,0,2,75.0
0,0,7,75.0
0,0,2,75.0
0,0,1,75.0
0,0,2,106.0
0,0,1,106.0
0,0,8,106.0
0,0,3,106.0
0,0,41,113.0
0,0,1,113.0
0,0,1,113.0
0,0,1,113.0
0,0,4,105.0
0,0,2,105.0
0,0,9,76.0
0,0,39,76.0
0,0,3,76.0
0,0,93,76.0
0,0,159,76.0
0,0,11,76.0
0,0,63,78.0
0,0,587,78.0
0,0,83,78.0
0,0,504,78.0
0,0,47,88.0
0,0,120,88.0
0,0,92,77.0
0,0,108,77.0
0,0,45,77.0
0,0,28,77.0
0,0,15,77.0
0,0,26,77.0
0,0,10,81.0
0,0,12,73.0
0,0,8,73.0
0,0,9,73.0
0,0,7,73.0
0,0,2,73.0
0,0,6,75.0
0,0,3,75.0
0,0,1,75.0
0,0,4,75.0
0,0,1,106.0
0,0,2,106.0
0,0,2,106.0
0,0,4,106.0
0,0,1,106.0
0,0,39,113.0
0,0,2,113.0
0,0,1,105.0
0,0,15,76.0
0,0,16,76.0
0,0,58,76.0
0,0,236,76.0
0,0,403,76.0
0,0,19,84.0
0,0,303,78.0
0,0,975,78.0
0,0,116,88.0
0,0,282,88.0
0,0,75,88.0
0,0,93,88.0
0,0,189,79.0
0,0,44,79.0
0,0,53,77.0
0,0,39,77.0
0,0,28,81.0
0,0,15,81.0
0,0,2,81.0
0,0,9,73.0
0,0,18,73.0
0,0,2,75.0
0,0,3,75.0
0,0,2,75.0
0,0,3,106.0
0,0,2,106.0
0,0,1,106.0
0,0,1,106.0
0,0,1,106.0
0,0,1,106.0
0,0,24,103.0
0,0,1,113.0
0,0,1,105.0
0,0,3,120.0
0,0,60,76.0
0,0,99,84.0
0,0,729,84.0
0,0,299,84.0
0,0,419,84.0
0,0,601,84.0
0,0,199,88.0
0,0,102,88.0
0,0,78,88.0
0,0,210,88.0
0,0,111,79.0
0,0,30,79.0
0,0,32,79.0
0,0,36,81.0
0,0,18,81.0
0,0,10,81.0
0,0,28,81.0
0,0,53,83.0
0,0,14,83.0
0,0,3,83.0
0,0,1,106.0
0,0,1,106.0
0,0,2,106.0
0,0,2,106.0
0,0,36,103.0
0,0,1,103.0
0,0,11,120.0
0,0,6,120.0
0,0,5,76.0
0,0,5,76.0
0,0,4,84.0
0,0,278,84.0
0,0,572,84.0
0,0,547,84.0
0,0,644,84.0
0,0,110,84.0
0,0,486,88.0
0,0,347,88.0
0,0,136,88.0
0,0,222,88.0
0,0,43,79.0
0,0,55,79.0
0,0,35,79.0
0,0,16,81.0
0,0,38,81.0
0,0,49,81.0
0,0,57,81.0
0,0,32,83.0
0,0,5,83.0
0,0,3,83.0
0,0,1,104.0
0,0,7,102.0
0,0,6,102.0
0,0,3,102.0
0,0,1,102.0
0,0,6,102.0
0,0,2,102.0
0,0,22,106.0
0,0,2,103.0
0,0,5,103.0
0,0,1,105.0
0,0,5,120.0
0,0,2,120.0
0,0,4,1.0
0,0,2,1.0
0,0,1,76.0
0,0,1,76.0
0,0,1,84.0
0,0,39,84.0
0,0,344,84.0
0,0,181,84.0
0,0,193,84.0
0,0,28,84.0
0,0,19,88.0
0,0,37,88.0
0,0,18,88.0
0,0,102,88.0
0,0,60,79.0
0,0,65,79.0
0,0,25,79.0
0,0,331,81.0
0,0,259,81.0
0,0,75,81.0
0,0,28,83.0
0,0,45,83.0
0,0,13,83.0
0,0,14,83.0
0,0,1,83.0
0,0,2,104.0
0,0,1,102.0
0,0,7,102.0
0,0,1,102.0
0,0,1,102.0
0,0,6,102.0
0,0,14,103.0
0,0,2,103.0
0,0,1,105.0
0,0,65,1.0
0,0,1870,1.0
0,0,164,5.0
0,0,1,84.0
0,0,28,84.0
0,0,257,84.0
0,0,271,84.0
0,0,35,84.0
0,0,28,88.0
0,0,60,88.0
0,0,33,90.0
0,0,83,90.0
0,0,174,90.0
0,0,79,90.0
0,0,193,81.0
0,0,132,83.0
0,0,57,83.0
0,0,31,83.0
0,0,51,83.0
0,0,7,83.0
0,0,7,104.0
0,0,3,104.0
0,0,4,104.0
0,0,3,104.0
0,0,4,102.0
0,0,1,102.0
0,0,5,102.0
0,0,2,102.0
0,0,97,102.0
0,0,2,103.0
0,0,7,103.0
0,0,2,105.0
0,0,510,1.0
0,0,1421,1.0
0,0,2007,5.0
0,0,488,5.0
0,0,17,5.0
0,0,5,5.0
0,0,5,7.0
0,0,26,88.0
0,0,73,88.0
0,0,375,90.0
0,0,254,90.0
0,0,106,90.0
0,0,359,90.0
0,0,96,90.0
0,0,144,90.0
0,0,114,83.0
0,0,105,83.0
0,0,13,83.0
0,0,1,83.0
0,0,3,83.0
0,0,2,104.0
0,0,4,104.0
0,0,1,104.0
0,0,1,104.0
0,0,1,104.0
0,0,1,112.0
0,0,3,102.0
0,0,10,102.0
0,0,15,102.0
0,0,6,107.0
0,0,4,107.0
0,0,4,103.0
0,0,1,103.0
0,0,2,120.0
0,0,1,120.0
0,0,3,120.0
0,0,1,1.0
0,0,2,1.0
0,0,1,1.0
0,0,1,1.0
0,0,2,1.0
0,0,693,1.0
0,0,1009,1.0
0,0,1483,1.0
0,0,425,5.0
0,0,702,5.0
0,0,751,5.0
0,0,65,7.0
0,0,25,7.0
0,0,13,7.0
0,0,28,7.0
0,0,454,7.0
0,0,1516,90.0
0,0,1806,90.0
0,0,1248,90.0
0,0,600,90.0
0,0,486,90.0
0,0,86,90.0
0,0,38,90.0
0,0,3,90.0
0,0,2,83.0
0,0,6,83.0
0,0,4,83.0
0,0,28,104.0
0,0,4,104.0
0,0,3,104.0
0,0,1,104.0
0,0,4,104.0
0,0,1,104.0
0,0,3,104.0
0,0,6,104.0
0,0,1,112.0
0,0,2,112.0
0,0,1,102.0
0,0,1,102.0
0,0,22,102.0
0,0,8,102.0
0,0,21,102.0
0,0,2,107.0
0,0,8,107.0
0,0,12,107.0
0,0,5,103.0
0,0,2,103.0
0,0,6,103.0
0,0,2,1.0
0,0,1,1.0
0,0,2,1.0
0,0,2,1.0
0,0,3,1.0
0,0,11,1.0
0,0,4,1.0
0,0,385,1.0
0,0,1236,1.0
0,0,2269,1.0
0,0,1968,5.0
0,0,2472,5.0
0,0,3240,5.0
0,0,3413,7.0
0,0,95,7.0
0,0,44,7.0
0,0,1,7.0
0,0,202,7.0
0,0,1049,90.0
0,0,2180,90.0
0,0,567,90.0
0,0,321,90.0
0,0,205,90.0
0,0,21,90.0
0,0,8,104.0
0,0,1,104.0
0,0,1,104.0
0,0,2,104.0
0,0,1,112.0
0,0,1,112.0
0,0,2,112.0
0,0,15,112.0
0,0,27,112.0
0,0,9,102.0
0,0,2,102.0
0,0,32,107.0
0,0,23,107.0
0,0,1,107.0
0,0,4,107.0
0,0,1,105.0
0,0,1,1.0
0,0,3,1.0
0,0,4,1.0
0,0,9,1.0
0,0,12,1.0
0,0,7,1.0
0,0,5,1.0
0,0,8,1.0
0,0,856,1.0
0,0,3635,1.0
0,0,3010,1.0
0,0,6407,5.0
0,0,5173,5.0
0,0,10434,9.0
0,0,1745,9.0
0,0,373,7.0
0,0,8,7.0
0,0,3,7.0
0,0,194,94.0
0,0,1184,94.0
0,0,678,94.0
0,0,161,94.0
0,0,109,94.0
0,0,8,94.0
0,0,8,104.0
0,0,13,104.0
0,0,1,104.0
0,0,1,104.0
0,0,10,112.0
0,0,6,112.0
0,0,3,112.0
0,0,2,112.0
0,0,29,112.0
0,0,70,112.0
0,0,11,112.0
0,0,2,112.0
0,0,1,107.0
0,0,5,107.0
0,0,3,107.0
0,0,1,105.0
0,0,2,1.0
0,0,2,1.0
0,0,4,1.0
0,0,1,1.0
0,0,3,1.0
0,0,5,1.0
0,0,2,1.0
0,0,2,1.0
0,0,175,1.0
0,0,2413,1.0
0,0,6071,6.0
0,0,5316,6.0
0,0,8008,9.0
0,0,6650,9.0
0,0,5090,9.0
0,0,1251,9.0
0,0,10,9.0
0,0,1,9.0
0,0,112,94.0
0,0,271,94.0
0,0,147,94.0
0,0,43,94.0
0,0,6,94.0
0,0,2,108.0
0,0,4,108.0
0,0,1,108.0
0,0,5,108.0
0,0,10,108.0
0,0,7,104.0
0,0,11,104.0
0,0,7,104.0
0,0,3,104.0
0,0,6,104.0
0,0,1,104.0
0,0,10,112.0
0,0,1,112.0
0,0,5,112.0
0,0,21,112.0
0,0,29,112.0
